company_name,high,low,last_price,prev_close,change,percent_gain
SBI Life Insura,"1,316.00","1,288.00","1,312.45","1,287.50",24.95,1.94
UPL,778.00,762.10,773.95,759.75,14.2,1.87
Hindalco,435.85,429.70,434.90,428.85,6.05,1.41
Divis Labs,"3,562.00","3,502.20","3,542.05","3,496.65",45.4,1.3
Shree Cements,"21,649.00","21,349.35","21,605.05","21,348.00",257.05,1.2
ONGC,138.00,136.40,137.50,136.00,1.5,1.1
BPCL,333.25,330.00,332.80,329.55,3.25,0.99
Coal India,226.65,223.70,225.75,223.65,2.1,0.94
Grasim,"1,627.00","1,616.05","1,626.00","1,612.25",13.75,0.85
Eicher Motors,"3,501.00","3,408.80","3,479.00","3,450.70",28.3,0.82
Kotak Mahindra,"1,891.70","1,870.00","1,882.40","1,867.60",14.8,0.79
HDFC Life,573.70,568.35,571.00,566.65,4.35,0.77
Maruti Suzuki,"8,795.00","8,680.00","8,771.10","8,704.00",67.1,0.77
SBI,526.50,521.15,522.65,519.30,3.35,0.65
HDFC,"2,465.00","2,440.00","2,453.80","2,438.50",15.3,0.63
JSW Steel,659.85,654.00,655.25,651.50,3.75,0.58
HUL,"2,628.40","2,591.60","2,601.30","2,588.25",13.05,0.5
Titan Company,"2,501.60","2,464.00","2,472.00","2,460.70",11.3,0.46
HDFC Bank,"1,483.95","1,473.45","1,479.20","1,472.85",6.35,0.43
ITC,316.40,314.10,315.25,314.10,1.15,0.37
Bharti Airtel,754.05,739.00,741.30,738.75,2.55,0.35
Larsen,"1,918.00","1,890.70","1,899.45","1,893.35",6.1,0.32
Dr Reddys Labs,"4,258.00","4,215.00","4,231.10","4,218.05",13.05,0.31
Wipro,420.10,416.85,417.40,416.15,1.25,0.3
Bajaj Finserv,"16,595.00","16,353.10","16,380.00","16,333.85",46.15,0.28
IndusInd Bank,"1,119.75","1,103.60","1,104.90","1,101.90",3,0.27
Nestle,"19,771.05","19,538.00","19,719.25","19,671.05",48.2,0.25
Reliance,"2,659.90","2,640.00","2,646.15","2,639.75",6.4,0.24
Tata Steel,107.90,106.50,106.80,106.55,0.25,0.23
Tata Steel,107.90,106.50,106.80,106.55,0.25,0.23
UltraTechCement,"6,606.00","6,505.20","6,520.00","6,508.35",11.65,0.18
Tech Mahindra,"1,081.00","1,065.55","1,072.60","1,070.95",1.65,0.15
ICICI Bank,880.45,873.10,874.45,873.30,1.15,0.13
M&M,"1,277.45","1,268.95","1,269.30","1,268.30",1,0.08
