company_name,high,low,last_price,prev_close,change,percent_gain
Reliance,"2,817.35","2,742.00","2,804.95","2,724.30",80.65,2.96
Infosys,"1,555.00","1,521.75","1,544.30","1,508.00",36.3,2.41
HCL Tech,"1,069.65","1,050.30","1,063.30","1,039.70",23.6,2.27
Wipro,488.00,479.25,484.00,474.15,9.85,2.08
Larsen,"1,673.70","1,644.95","1,663.85","1,637.15",26.7,1.63
Tech Mahindra,"1,182.00","1,158.00","1,161.75","1,146.00",15.75,1.37
SBI Life Insura,"1,161.85","1,141.00","1,158.50","1,143.75",14.75,1.29
HDFC Life,617.45,609.60,615.00,607.90,7.1,1.17
Bajaj Finance,"6,159.00","6,095.60","6,124.65","6,057.85",66.8,1.1
Power Grid Corp,228.10,225.75,227.45,225.55,1.9,0.84
TCS,"3,477.30","3,446.65","3,451.55","3,423.00",28.55,0.83
Bajaj Finserv,"13,220.00","12,964.05","13,027.00","12,936.00",91,0.7
Hindalco,416.90,410.65,412.25,409.90,2.35,0.57
HDFC Bank,"1,400.75","1,389.50","1,390.40","1,385.10",5.3,0.38
ICICI Bank,757.00,750.65,752.50,749.75,2.75,0.37
Dr Reddys Labs,"4,375.00","4,335.35","4,348.30","4,333.15",15.15,0.35
HDFC,"2,316.05","2,293.90","2,297.00","2,289.60",7.4,0.32
SBI,475.50,471.00,471.35,469.85,1.5,0.32
Axis Bank,698.00,691.05,693.00,691.55,1.45,0.21
Kotak Mahindra,"1,879.00","1,853.50","1,861.20","1,857.65",3.55,0.19
IndusInd Bank,953.80,942.50,943.50,942.95,0.55,0.06
