company_name,high,low,last_price,prev_close,change,percent_gain
Tata Steel,"1,204.00","1,152.15","1,202.15","1,147.20",54.95,4.79
Coal India,166.45,159.00,166.00,159.35,6.65,4.17
JSW Steel,683.75,657.25,683.50,657.05,26.45,4.03
Sun Pharma,871.00,834.25,865.00,836.20,28.8,3.44
Power Grid Corp,211.50,206.55,210.30,204.95,5.35,2.61
Cipla,929.15,908.70,928.65,906.20,22.45,2.48
UPL,841.40,823.10,840.35,822.40,17.95,2.18
Divis Labs,"4,589.00","4,466.00","4,579.50","4,492.90",86.6,1.93
Dr Reddys Labs,"4,759.00","4,684.60","4,758.00","4,693.40",64.6,1.38
NTPC,136.65,133.50,135.50,133.85,1.65,1.23
Hindalco,509.00,499.15,503.85,497.95,5.9,1.18
IOC,120.60,118.85,120.50,119.15,1.35,1.13
Larsen,"2,005.00","1,975.55","1,987.40","1,974.20",13.2,0.67
Britannia,"3,727.00","3,691.30","3,724.00","3,700.20",23.8,0.64
SBI Life Insura,"1,258.90","1,246.00","1,257.30","1,249.40",7.9,0.63
ITC,225.80,222.75,223.90,222.75,1.15,0.52
UltraTechCement,"7,698.05","7,641.25","7,696.90","7,658.70",38.2,0.5
BPCL,391.00,387.25,390.40,388.70,1.7,0.44
M&M,890.95,868.00,884.05,880.55,3.5,0.4
Adani Ports,774.00,760.00,766.60,763.55,3.05,0.4
Bajaj Finance,"7,849.55","7,774.00","7,801.35","7,774.50",26.85,0.35
HDFC,"2,755.05","2,726.10","2,746.50","2,737.50",9,0.33
SBI,512.85,507.00,511.20,510.25,0.95,0.19
Bharti Airtel,735.00,726.15,731.40,730.20,1.2,0.16
TCS,"3,923.00","3,857.00","3,866.20","3,859.90",6.3,0.16
Reliance,"2,541.00","2,512.20","2,524.95","2,521.10",3.85,0.15
Bajaj Finserv,"18,024.70","17,900.00","17,950.00","17,935.30",14.7,0.08
Bajaj Auto,"3,474.30","3,431.60","3,442.25","3,440.10",2.15,0.06
Infosys,"1,912.50","1,866.35","1,877.70","1,877.45",0.25,0.01
