company_name,high,low,last_price,prev_close,change,percent_gain
IndusInd Bank,"1,251.05","1,185.00","1,244.00","1,195.85",48.15,4.03
Cipla,"1,058.50","1,034.00","1,055.75","1,033.30",22.45,2.17
Sun Pharma,890.50,873.30,879.10,874.30,4.8,0.55
JSW Steel,694.50,683.30,693.25,689.65,3.6,0.52
Titan Company,"2,677.65","2,635.10","2,665.20","2,656.15",9.05,0.34
SBI Life Insura,"1,302.95","1,275.05","1,298.65","1,295.00",3.65,0.28
Kotak Mahindra,"1,980.00","1,912.00","1,935.10","1,934.15",0.95,0.05
Bajaj Finance,"7,480.15","7,336.00","7,387.25","7,386.30",0.95,0.01
