company_name,high,low,last_price,prev_close,change,percent_gain
NTPC,135.80,130.50,133.00,130.05,2.95,2.27
TCS,"3,590.00","3,460.00","3,563.00","3,484.90",78.1,2.24
Tech Mahindra,"1,461.85","1,420.00","1,451.70","1,424.10",27.6,1.94
Infosys,"1,773.50","1,718.45","1,768.65","1,739.85",28.8,1.66
Sun Pharma,838.35,826.20,834.90,822.65,12.25,1.49
Cipla,957.40,935.40,954.50,941.15,13.35,1.42
Power Grid Corp,223.40,213.55,215.50,212.80,2.7,1.27
IOC,113.75,111.60,113.60,112.25,1.35,1.2
Divis Labs,"4,133.80","4,066.00","4,114.90","4,074.95",39.95,0.98
HCL Tech,"1,174.90","1,155.00","1,165.10","1,154.20",10.9,0.94
BPCL,343.00,336.50,341.00,338.00,3,0.89
TATA Cons. Prod,669.80,658.00,665.65,659.85,5.8,0.88
UltraTechCement,"5,771.00","5,629.20","5,738.40","5,698.10",40.3,0.71
Adani Ports,692.00,678.10,681.35,677.80,3.55,0.52
ITC,228.45,223.75,225.85,224.95,0.9,0.4
Wipro,577.90,572.00,573.10,571.85,1.25,0.22
Coal India,191.25,186.60,189.10,188.70,0.4,0.21
Bajaj Auto,"3,243.00","3,175.70","3,237.60","3,234.65",2.95,0.09
M&M,701.50,686.35,690.80,690.55,0.25,0.04
