company_name,high,low,last_price,prev_close,change,percent_gain
Adani Ports,883.80,840.70,881.50,850.50,31,3.64
HCL Tech,"1,134.95","1,081.10","1,121.85","1,099.20",22.65,2.06
Maruti Suzuki,"7,987.50","7,731.00","7,965.50","7,879.20",86.3,1.1
Bajaj Finance,"7,198.00","7,071.40","7,192.95","7,138.10",54.85,0.77
HDFC,"2,242.30","2,186.00","2,240.75","2,230.65",10.1,0.45
Bharti Airtel,740.90,729.00,738.25,735.75,2.5,0.34
ONGC,176.30,174.10,174.60,174.15,0.45,0.26
Tech Mahindra,"1,324.00","1,292.85","1,315.00","1,312.70",2.3,0.18
Reliance,"2,788.00","2,744.20","2,786.10","2,782.10",4,0.14
Asian Paints,"3,168.00","3,113.25","3,162.25","3,158.25",4,0.13
Britannia,"3,365.00","3,325.00","3,362.50","3,359.90",2.6,0.08
HDFC Bank,"1,375.35","1,349.15","1,374.90","1,374.35",0.55,0.04
