company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,138.45,133.50,137.85,132.80,5.05,3.8
NTPC,157.80,152.60,157.55,153.65,3.9,2.54
Tata Steel,112.65,108.80,111.85,109.10,2.75,2.52
Tata Steel,112.65,108.80,111.85,109.10,2.75,2.52
SBI Life Insura,"1,287.95","1,252.50","1,285.55","1,261.50",24.05,1.91
Power Grid Corp,227.25,222.00,226.95,222.85,4.1,1.84
BPCL,333.90,327.80,332.90,328.35,4.55,1.39
Reliance,"2,634.90","2,582.20","2,626.50","2,591.10",35.4,1.37
Hindalco,442.70,433.00,439.40,433.50,5.9,1.36
UPL,779.90,768.00,777.75,767.50,10.25,1.34
Coal India,221.90,217.75,221.15,218.60,2.55,1.17
HDFC Life,548.35,540.15,547.10,541.55,5.55,1.02
SBI,531.30,525.15,529.85,524.75,5.1,0.97
Adani Ports,799.70,785.50,799.00,792.75,6.25,0.79
Tata Motors,480.50,470.00,480.40,476.65,3.75,0.79
Tata Motors,480.50,470.00,480.40,476.65,3.75,0.79
ITC,309.40,304.50,308.60,306.25,2.35,0.77
JSW Steel,685.00,673.00,678.20,673.60,4.6,0.68
Bajaj Finserv,"15,878.00","15,680.00","15,840.60","15,736.95",103.65,0.66
ICICI Bank,866.00,858.50,864.45,859.70,4.75,0.55
Bajaj Auto,"4,060.00","4,013.75","4,050.00","4,033.50",16.5,0.41
Britannia,"3,659.95","3,607.65","3,654.00","3,640.30",13.7,0.38
Eicher Motors,"3,202.00","3,131.00","3,186.00","3,176.45",9.55,0.3
IndusInd Bank,"1,088.05","1,075.55","1,081.60","1,079.20",2.4,0.22
Titan Company,"2,493.00","2,461.90","2,477.00","2,472.35",4.65,0.19
Dr Reddys Labs,"4,282.30","4,221.00","4,265.95","4,258.30",7.65,0.18
HDFC,"2,460.00","2,438.60","2,457.85","2,454.85",3,0.12
