company_name,high,low,last_price,prev_close,change,percent_gain
M&M,"1,035.90",992.00,"1,033.55",998.35,35.2,3.53
ONGC,148.95,145.40,148.30,144.05,4.25,2.95
Bajaj Auto,"3,954.80","3,864.05","3,941.70","3,856.70",85,2.2
JSW Steel,552.00,532.20,550.00,538.85,11.15,2.07
Apollo Hospital,"3,969.00","3,839.05","3,964.90","3,891.95",72.95,1.87
Coal India,192.25,185.20,190.45,187.20,3.25,1.74
Power Grid Corp,233.90,228.20,232.20,228.25,3.95,1.73
Tata Steel,"1,071.90","1,037.00","1,062.25","1,047.45",14.8,1.41
NTPC,153.50,150.35,153.00,150.90,2.1,1.39
Tata Motors,449.50,442.05,448.30,442.40,5.9,1.33
Tech Mahindra,"1,179.85","1,148.65","1,178.40","1,164.00",14.4,1.24
Divis Labs,"3,606.00","3,530.00","3,598.60","3,566.50",32.1,0.9
Nestle,"17,879.45","17,528.55","17,850.35","17,706.90",143.45,0.81
Adani Ports,743.60,728.00,740.00,734.70,5.3,0.72
Asian Paints,"2,878.00","2,811.00","2,862.80","2,844.00",18.8,0.66
Hero Motocorp,"2,799.85","2,770.00","2,787.85","2,770.55",17.3,0.62
Maruti Suzuki,"8,100.00","7,950.50","8,057.35","8,013.90",43.45,0.54
Bajaj Finance,"6,156.45","6,016.45","6,137.95","6,111.20",26.75,0.44
UPL,790.50,778.30,785.95,782.55,3.4,0.43
Eicher Motors,"2,803.00","2,762.05","2,768.00","2,758.45",9.55,0.35
Wipro,478.70,470.40,477.85,476.25,1.6,0.34
ICICI Bank,751.90,740.50,750.75,748.50,2.25,0.3
SBI,476.40,472.20,475.55,474.60,0.95,0.2
SBI Life Insura,"1,157.90","1,139.60","1,150.60","1,148.40",2.2,0.19
Axis Bank,696.00,687.75,695.00,693.65,1.35,0.19
Cipla,995.75,978.70,988.60,986.80,1.8,0.18
ITC,270.15,266.40,269.45,269.05,0.4,0.15
Bajaj Finserv,"12,954.00","12,773.60","12,938.00","12,924.05",13.95,0.11
Hindalco,420.90,412.00,417.20,416.75,0.45,0.11
Bharti Airtel,703.55,692.60,699.65,699.05,0.6,0.09
IndusInd Bank,939.95,926.00,936.75,936.20,0.55,0.06
Reliance,"2,678.80","2,639.40","2,666.05","2,664.80",1.25,0.05
Britannia,"3,610.00","3,555.25","3,577.70","3,576.25",1.45,0.04
