company_name,high,low,last_price,prev_close,change,percent_gain
Power Grid Corp,209.50,200.30,206.50,200.25,6.25,3.12
Bajaj Finance,"7,199.80","6,849.25","7,092.90","6,905.75",187.15,2.71
SBI Life Insura,"1,167.90","1,134.15","1,165.75","1,136.25",29.5,2.6
Bajaj Finserv,"17,500.00","16,880.00","17,320.00","16,890.40",429.6,2.54
Axis Bank,677.45,648.00,664.75,651.10,13.65,2.1
Tata Motors,478.00,466.55,470.50,461.45,9.05,1.96
Tech Mahindra,"1,594.45","1,526.50","1,565.80","1,536.65",29.15,1.9
IndusInd Bank,927.50,898.00,911.25,895.45,15.8,1.76
TATA Cons. Prod,789.35,764.20,779.35,766.00,13.35,1.74
BPCL,379.50,370.00,372.90,367.45,5.45,1.48
Titan Company,"2,390.00","2,336.40","2,357.25","2,324.20",33.05,1.42
HDFC Bank,"1,529.00","1,492.25","1,518.20","1,501.25",16.95,1.13
SBI,477.25,467.60,470.35,465.10,5.25,1.13
HCL Tech,"1,156.00","1,133.00","1,145.15","1,133.15",12,1.06
Asian Paints,"3,189.00","3,116.15","3,176.00","3,144.30",31.7,1.01
Shree Cements,"26,013.95","25,330.95","25,784.45","25,566.10",218.35,0.85
ONGC,147.75,142.65,145.30,144.10,1.2,0.83
Infosys,"1,727.10","1,704.55","1,709.20","1,696.35",12.85,0.76
Wipro,645.50,630.50,635.10,630.60,4.5,0.71
HUL,"2,355.00","2,311.00","2,345.15","2,329.40",15.75,0.68
UPL,702.75,689.00,693.90,689.35,4.55,0.66
Hindalco,430.00,418.30,422.90,420.15,2.75,0.65
TCS,"3,562.00","3,491.00","3,523.65","3,502.00",21.65,0.62
Larsen,"1,798.90","1,766.30","1,775.05","1,767.25",7.8,0.44
Coal India,158.50,154.25,154.90,154.25,0.65,0.42
Maruti Suzuki,"7,250.00","7,113.65","7,179.70","7,149.50",30.2,0.42
ICICI Bank,732.30,716.75,721.00,718.40,2.6,0.36
ITC,225.20,222.00,222.25,221.50,0.75,0.34
Sun Pharma,761.35,751.00,753.45,751.05,2.4,0.32
IOC,120.90,118.55,119.15,118.80,0.35,0.29
Britannia,"3,558.00","3,501.10","3,538.00","3,528.60",9.4,0.27
Nestle,"19,103.00","18,935.45","19,036.60","19,000.40",36.2,0.19
Bajaj Auto,"3,322.95","3,275.00","3,304.00","3,298.20",5.8,0.18
Eicher Motors,"2,447.00","2,397.30","2,417.00","2,413.40",3.6,0.15
Bharti Airtel,750.20,738.05,739.55,739.35,0.2,0.03
Tata Steel,"1,127.90","1,110.00","1,115.00","1,114.75",0.25,0.02
