company_name,high,low,last_price,prev_close,change,percent_gain
Maruti Suzuki,"8,232.00","7,924.15","8,184.25","7,906.00",278.25,3.52
UPL,818.90,791.70,816.70,788.95,27.75,3.52
Infosys,"1,864.00","1,813.00","1,862.85","1,814.30",48.55,2.68
Hero Motocorp,"2,573.25","2,489.30","2,564.50","2,499.10",65.4,2.62
Tata Motors,503.50,491.30,503.35,490.60,12.75,2.6
HDFC,"2,650.65","2,601.90","2,650.00","2,596.70",53.3,2.05
ITC,224.70,218.90,222.85,218.40,4.45,2.04
Coal India,160.30,157.05,159.90,156.95,2.95,1.88
Kotak Mahindra,"1,944.00","1,901.35","1,940.00","1,904.25",35.75,1.88
SBI Life Insura,"1,240.70","1,213.30","1,239.70","1,217.40",22.3,1.83
M&M,843.70,829.70,842.90,829.00,13.9,1.68
Axis Bank,744.00,733.20,741.45,730.60,10.85,1.49
Bajaj Auto,"3,451.25","3,404.45","3,440.50","3,392.50",48,1.41
Grasim,"1,822.05","1,793.60","1,821.80","1,797.65",24.15,1.34
HDFC Life,669.70,660.00,668.90,660.30,8.6,1.3
ICICI Bank,807.75,800.25,803.35,793.25,10.1,1.27
SBI,498.75,492.50,496.95,491.25,5.7,1.16
Bajaj Finance,"7,759.00","7,669.75","7,736.80","7,659.35",77.45,1.01
Larsen,"1,927.00","1,907.25","1,923.80","1,904.90",18.9,0.99
Tech Mahindra,"1,721.55","1,687.50","1,720.80","1,703.85",16.95,0.99
TCS,"3,978.00","3,861.00","3,890.95","3,853.50",37.45,0.97
IOC,120.15,118.30,119.55,118.50,1.05,0.89
Power Grid Corp,207.25,205.30,206.75,205.20,1.55,0.76
JSW Steel,679.50,670.00,677.70,672.85,4.85,0.72
Tata Steel,"1,173.40","1,153.85","1,167.60","1,160.35",7.25,0.62
Bharti Airtel,711.35,705.00,709.00,704.70,4.3,0.61
Titan Company,"2,601.00","2,571.00","2,588.00","2,572.70",15.3,0.59
ONGC,158.25,156.40,157.95,157.05,0.9,0.57
HDFC Bank,"1,572.00","1,555.05","1,558.05","1,550.55",7.5,0.48
Bajaj Finserv,"18,000.00","17,800.00","17,831.10","17,756.90",74.2,0.42
Britannia,"3,765.20","3,727.90","3,752.35","3,737.35",15,0.4
Hindalco,497.30,490.05,495.00,493.50,1.5,0.3
Adani Ports,743.00,736.35,738.00,736.10,1.9,0.26
BPCL,399.70,396.35,397.10,396.20,0.9,0.23
TATA Cons. Prod,743.00,732.20,737.80,736.10,1.7,0.23
IndusInd Bank,929.85,922.25,924.15,922.25,1.9,0.21
NTPC,132.30,131.20,131.55,131.35,0.2,0.15
HCL Tech,"1,304.85","1,280.00","1,291.95","1,290.55",1.4,0.11
