company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finserv,"17,686.95","16,804.50","17,595.00","16,962.15",632.85,3.73
TATA Cons. Prod,834.95,806.00,829.95,809.65,20.3,2.51
Asian Paints,"3,470.00","3,315.00","3,469.10","3,391.60",77.5,2.29
Bharti Airtel,746.00,726.50,740.00,726.60,13.4,1.84
Eicher Motors,"3,434.90","3,241.00","3,415.55","3,358.75",56.8,1.69
Grasim,"1,704.35","1,660.40","1,704.35","1,678.65",25.7,1.53
Titan Company,"2,647.15","2,565.65","2,640.20","2,604.65",35.55,1.36
Hero Motocorp,"2,876.45","2,792.90","2,875.05","2,837.70",37.35,1.32
BPCL,333.00,324.20,332.80,328.65,4.15,1.26
SBI,540.90,522.25,537.65,531.25,6.4,1.2
Maruti Suzuki,"9,233.65","8,941.00","9,140.00","9,082.25",57.75,0.64
M&M,"1,325.70","1,280.00","1,317.00","1,308.70",8.3,0.63
Bajaj Auto,"4,131.75","4,010.00","4,106.40","4,084.85",21.55,0.53
UltraTechCement,"6,760.00","6,622.75","6,712.00","6,677.85",34.15,0.51
IndusInd Bank,"1,121.00","1,095.00","1,112.25","1,107.45",4.8,0.43
Kotak Mahindra,"1,925.50","1,875.00","1,920.10","1,915.45",4.65,0.24
HDFC Life,581.00,570.25,576.45,575.20,1.25,0.22
Adani Ports,846.55,835.90,843.40,842.15,1.25,0.15
Apollo Hospital,"4,328.95","4,244.00","4,327.00","4,322.90",4.1,0.09
JSW Steel,668.55,653.25,667.05,666.90,0.15,0.02
