company_name,high,low,last_price,prev_close,change,percent_gain
Maruti Suzuki,"8,724.25","8,443.60","8,690.40","8,569.10",121.3,1.42
Shree Cements,"24,686.00","24,050.05","24,659.55","24,349.55",310,1.27
ICICI Bank,757.75,740.00,756.20,748.90,7.3,0.97
Power Grid Corp,197.35,195.55,197.10,195.70,1.4,0.72
IndusInd Bank,965.85,950.25,961.60,955.35,6.25,0.65
Infosys,"1,715.60","1,691.50","1,714.05","1,706.95",7.1,0.42
Eicher Motors,"2,709.00","2,668.50","2,707.80","2,699.25",8.55,0.32
HDFC Bank,"1,520.00","1,495.55","1,516.60","1,512.35",4.25,0.28
Wipro,564.15,555.40,564.05,562.45,1.6,0.28
Dr Reddys Labs,"4,416.65","4,302.60","4,332.75","4,321.15",11.6,0.27
Cipla,913.70,896.00,909.50,909.10,0.4,0.04
Kotak Mahindra,"1,831.75","1,802.10","1,826.65","1,826.55",0.1,0.01
