company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finserv,"13,088.60","12,790.00","13,025.00","12,619.55",405.45,3.21
ONGC,131.60,130.15,131.10,129.80,1.3,1
UltraTechCement,"6,455.00","6,307.20","6,439.00","6,382.90",56.1,0.88
Power Grid Corp,211.00,207.40,209.20,207.90,1.3,0.63
Bajaj Finance,"6,304.00","6,212.50","6,264.00","6,227.00",37,0.59
Reliance,"2,442.00","2,411.35","2,434.80","2,420.40",14.4,0.59
M&M,"1,146.00","1,125.15","1,141.00","1,135.85",5.15,0.45
JSW Steel,590.50,581.60,588.05,585.50,2.55,0.44
Grasim,"1,510.80","1,485.10","1,504.60","1,498.50",6.1,0.41
ITC,302.80,300.45,302.30,301.10,1.2,0.4
Sun Pharma,877.40,862.00,871.85,868.35,3.5,0.4
HDFC Bank,"1,399.45","1,386.30","1,398.50","1,396.60",1.9,0.14
NTPC,150.95,149.30,150.25,150.10,0.15,0.1
Adani Ports,752.90,745.00,750.50,749.95,0.55,0.07
UPL,739.50,731.50,734.25,733.95,0.3,0.04
