company_name,high,low,last_price,prev_close,change,percent_gain
Reliance,"2,514.50","2,465.00","2,514.00","2,455.55",58.45,2.38
Bajaj Finance,"7,869.00","7,691.80","7,842.00","7,669.85",172.15,2.24
Hindalco,499.45,491.00,495.65,486.35,9.3,1.91
Bajaj Finserv,"18,190.00","17,750.00","18,103.00","17,799.50",303.5,1.71
JSW Steel,657.35,649.00,656.55,645.70,10.85,1.68
Kotak Mahindra,"1,976.15","1,947.15","1,967.15","1,936.80",30.35,1.57
ICICI Bank,825.45,812.05,822.10,810.65,11.45,1.41
IndusInd Bank,934.30,920.10,930.00,917.95,12.05,1.31
HDFC,"2,752.00","2,713.05","2,745.00","2,710.95",34.05,1.26
SBI,513.50,508.50,511.65,505.95,5.7,1.13
Infosys,"1,876.00","1,860.00","1,875.80","1,855.60",20.2,1.09
Power Grid Corp,206.40,204.45,205.80,203.85,1.95,0.96
M&M,849.45,842.50,848.95,841.40,7.55,0.9
ONGC,163.85,161.40,162.40,160.95,1.45,0.9
Bharti Airtel,711.80,704.20,709.35,703.45,5.9,0.84
Tata Motors,508.00,503.50,505.35,501.30,4.05,0.81
Tata Steel,"1,150.80","1,132.40","1,139.10","1,130.25",8.85,0.78
Axis Bank,751.45,744.00,749.00,743.25,5.75,0.77
Eicher Motors,"2,818.55","2,790.05","2,811.40","2,794.35",17.05,0.61
Asian Paints,"3,582.45","3,534.00","3,558.95","3,538.75",20.2,0.57
NTPC,133.90,132.35,133.05,132.30,0.75,0.57
Larsen,"1,984.00","1,960.30","1,970.25","1,961.15",9.1,0.46
Grasim,"1,873.50","1,845.00","1,854.70","1,846.90",7.8,0.42
Coal India,160.75,158.50,159.15,158.55,0.6,0.38
ITC,223.10,221.60,222.75,221.95,0.8,0.36
HDFC Life,664.65,658.30,660.30,658.15,2.15,0.33
Maruti Suzuki,"8,200.00","8,115.00","8,169.55","8,143.85",25.7,0.32
HCL Tech,"1,357.10","1,331.40","1,347.55","1,343.65",3.9,0.29
Nestle,"19,850.00","19,720.00","19,808.00","19,761.95",46.05,0.23
Hero Motocorp,"2,581.80","2,562.70","2,572.50","2,568.25",4.25,0.17
SBI Life Insura,"1,245.50","1,231.15","1,235.55","1,233.40",2.15,0.17
Adani Ports,774.90,763.05,766.10,765.10,1,0.13
UltraTechCement,"7,729.00","7,612.65","7,615.65","7,606.30",9.35,0.12
HUL,"2,415.00","2,398.50","2,406.00","2,403.65",2.35,0.1
Bajaj Auto,"3,452.00","3,431.50","3,439.00","3,436.75",2.25,0.07
