company_name,high,low,last_price,prev_close,change,percent_gain
SBI,549.00,525.25,545.95,530.30,15.65,2.95
Tata Steel,"1,214.60","1,161.00","1,205.60","1,176.30",29.3,2.49
Power Grid Corp,214.30,210.00,212.15,209.70,2.45,1.17
Coal India,162.50,159.65,162.00,160.40,1.6,1
NTPC,136.20,134.20,135.20,134.20,1,0.75
ONGC,172.00,169.20,170.80,169.60,1.2,0.71
Hindalco,533.25,523.05,528.45,525.15,3.3,0.63
JSW Steel,666.65,657.05,659.75,657.35,2.4,0.37
Reliance,"2,356.80","2,330.15","2,339.65","2,331.30",8.35,0.36
Tech Mahindra,"1,465.75","1,444.30","1,452.15","1,448.20",3.95,0.27
TCS,"3,831.80","3,791.00","3,817.00","3,814.90",2.1,0.06
