Status,Exposure.Location,Street,Suburb,Date,Arrival.Time,Departure.Time,Contact,type
,Woolworths Weston Creek,Corner Brierly Street and Mahony Court,Weston,21/08/2021 - Saturday,7:30pm,9:00pm,Monitor,Monitor 
,Mawson Halal Market,2/79 Mawson Place,Mawson,21/08/2021 - Saturday,3:30pm,4:30pm,Casual,Casual 
,Woolworths Metro Franklin,"51 Nullarbor Avenue, Corner Flemington Road",Franklin,21/08/2021 - Saturday,1:50pm,2:45pm,Monitor,Monitor 
,Coles Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,21/08/2021 - Saturday,3:00pm,4:10pm,Monitor,Monitor 
,Bottlemart Express Braddon,94 Lowanna Street,Braddon,21/08/2021 - Saturday,12:30pm,2:00pm,Casual,Casual 
,Charcoal Rooster Braddon,94 Lowanna Street,Braddon,21/08/2021 - Saturday,12:30pm,2:00pm,Casual,Casual 
,Domino's Pizza Holt,8/118-126 Hardwick Crescent,Holt,21/08/2021 - Saturday,12:10am,12:50am,Monitor,Monitor 
,ALDI Amaroo,12 Pioneer Street,Amaroo,22/08/2021 - Sunday,4:00pm,4:40pm,Monitor,Monitor 
,ALDI Casey,"Casey Market Town, 15 Kingsland Parade",Casey,22/08/2021 - Sunday,5:35pm,7:45pm,Casual,Casual 
,Supabarn Casey,"Casey Market Town, 15 Kingsland Parade",Casey,22/08/2021 - Sunday,5:10pm,6:15pm,Casual,Casual 
,Oporto Weston,Kirkpatrick Street,Weston,22/08/2021 - Sunday,3:00pm,3:45pm,Monitor,Monitor 
,Mirchi Indian Cuisine,4 Riley Close,Ngunnawal,22/08/2021 - Sunday,2:00pm,10:00pm,Close,Close 
,Gelato Messina Braddon,4/21 Lonsdale Street,Braddon,22/08/2021 - Sunday,4:00pm,5:30pm,Casual,Casual 
,Haig Park,Haig Park,Braddon & Turner,22/08/2021 - Sunday,4:15pm,5:30pm,Monitor,Monitor 
,Coles Chisholm,42 Halley Street,Chisholm,22/08/2021 - Sunday,12:20pm,1:10pm,Monitor,Monitor 
,IGA Denman Prospect,20/3 Felstead Vista,Denman Prospect,22/08/2021 - Sunday,12:40pm,2:00pm,Monitor,Monitor 
,ALDI Gungahlin,Hibberson Street,Gungahlin,22/08/2021 - Sunday,9:50am,11:00am,Casual,Casual 
,Woolworths Gungahlin,33 Hibberson Street,Gungahlin,22/08/2021 - Sunday,10:20am,11:30am,Casual,Casual 
,Le Bon Melange Cafe,G09/48 Gungahlin Place and Bruning Street,Gungahlin,22/08/2021 - Sunday,9:35am,10:30am,Casual,Casual 
,7-Eleven Casey,"Casey Market Town, 10 Kingsland Parade",Casey,23/08/2021 - Monday,5:00pm,6:00pm,Monitor,Monitor 
,ALDI Casey,"Casey Market Town, 15 Kingsland Parade",Casey,23/08/2021 - Monday,5:10pm,6:00pm,Monitor,Monitor 
,Priceline Pharmacy Casey,"Casey Market Town, 15 Kingsland Parade",Casey,23/08/2021 - Monday,5:20pm,5:50pm,Monitor,Monitor 
,Supabarn Casey,"Casey Market Town, 15 Kingsland Parade",Casey,23/08/2021 - Monday,5:20pm,6:15pm,Casual,Casual 
,Coles Chisholm,"Chisholm Village Shopping Centre, 42 Halley Street",Chisholm,23/08/2021 - Monday,3:50am,6:00pm,Casual,Casual 
,Service Australia (Calypso Cafe),57 Athllon Drive,Greenway,23/08/2021 - Monday,12:00pm,2:00pm,Casual,Casual 
,"Services Australia (Entire building, refer to Casual Contacts entry if attended Level 4)",57 Athllon Drive,Greenway,23/08/2021 - Monday,8:00am,5:00pm,Monitor,Monitor 
,Services Australia (Level 4),57 Athllon Drive,Greenway,23/08/2021 - Monday,8:00am,5:00pm,Casual,Casual 
,KFC Dickson,81 Woolley Street,Dickson,23/08/2021 - Monday,10:45am,4:30pm,Casual,Casual 
,Mirchi Indian Cuisine,4 Riley Close,Ngunnawal,23/08/2021 - Monday,4:00pm,10:30pm,Close,Close 
,Priceline Pharmacy Casey,"Casey Market Town, 15 Kingsland Parade",Casey,24/08/2021 - Tuesday,3:40pm,4:30pm,Monitor,Monitor 
,Gerald Slaven Ford Phillip,29 Botany Street,Phillip,23/08/2021 - Monday,8:30am,9:30am,Casual,Casual 
,Woolworths Kippax,48 Hardwick Crescent,Holt,23/08/2021 - Monday,11:55am,12:50pm,Casual,Casual 
,Woolworths Kippax,48 Hardwick Crescent,Holt,23/08/2021 - Monday,2:40pm,3:35pm,Monitor,Monitor 
,Coles Tuggeranong,Pitman Street,Greenway,23/08/2021 - Monday,10:10am,11:10am,Casual,Casual 
,Liquorland Tuggeranong,Corner Northern Street and Western Street,Greenway,23/08/2021 - Monday,10:30am,11:15am,Monitor,Monitor 
,ALDI Amaroo,12 Pioneer Street,Amaroo,24/08/2021 - Tuesday,4:15pm,5:00pm,Monitor,Monitor 
,ALDI Amaroo,12 Pioneer Street,Amaroo,24/08/2021 - Tuesday,5:40pm,6:30pm,Monitor,Monitor 
,ALDI Casey,"Casey Market Town, 15 Kingsland Parade",Casey,24/08/2021 - Tuesday,3:50pm,4:40pm,Monitor,Monitor 
,Priceline Pharmacy Tuggeranong,148 Anketell Street,Greenway,23/08/2021 - Monday,10:00am,10:45am,Monitor,Monitor 
,Coles Chisholm,"Chisholm Village Shopping Centre, 42 Halley Street",Chisholm,24/08/2021 - Tuesday,5:20am,6:00pm,Casual,Casual 
,The Public Place,"Chisholm Village Shopping Centre, 42 Halley Street",Chisholm,24/08/2021 - Tuesday,10:00am,10:40am,Monitor,Monitor 
,"Services Australia (Entire building, refer to Casual Contacts entry if attended Level 4)",57 Athllon Drive,Greenway,24/08/2021 - Tuesday,8:00am,2:00pm,Monitor,Monitor 
