Status,Exposure.Location,Street,Suburb,Date,Arrival.Time,Departure.Time,Contact,type
New,Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,25/08/2021 - Wednesday,5:00pm,6:30pm,Casual,Casual New
New,Priceline Pharmacy Gungahlin,126/43 Hibberson Street,Gungahlin,30/08/2021 - Monday,12:20pm,1:20pm,Casual,Casual New
New,ALDI Gungahlin,Hibberson Street,Gungahlin,30/08/2021 - Monday,12:40pm,1:30pm,Monitor,Monitor New
New,First Choice Liquor Gungahlin,46-50 Hibberson Street,Gungahlin,30/08/2021 - Monday,12:50pm,2:00pm,Casual,Casual New
New,Bus Route 65 Transport Canberra Code BUS607,Woden Interchange to Cooleman Court,Public Transport,30/08/2021 - Monday,1:25pm,1:38pm,Casual,Casual New
New,Bus Route 70 Transport Canberra Code BUS376,Cooleman Court to Woden Interchange,Public Transport,30/08/2021 - Monday,1:57pm,2:07pm,Casual,Casual New
New,Bus Route 22 Transport Canberra Code BUS491,Gungahlin Place to Throsby,Public Transport,26/08/2021 - Thursday,2:50pm,2:56pm,Casual,Casual New
New,Light Rail Route R1 Transport Canberra Code LRV009,Gungahlin to Manning Clark North,Public Transport,26/08/2021 - Thursday,5:01pm,5:03pm,Casual,Casual New
New,Bus Route 65 Transport Canberra Code BUS641,Woden Interchange to Cooleman Court,Public Transport,29/08/2021 - Sunday,8:00am,8:10am,Casual,Casual New
New,Bus Route 64 Transport Canberra Code BUS641,Cooleman Court to Woden Interchange,Public Transport,29/08/2021 - Sunday,8:43am,8:53am,Casual,Casual New
New,Woolworths Mawson,15 Mawson Place,Mawson,29/08/2021 - Sunday,8:20am,10:00am,Casual,Casual New
New,Bus Route 66 Transport Canberra Code BUS492,Denman Prospect to Woden Interchange,Public Transport,30/08/2021 - Monday,8:21pm,8:38pm,Casual,Casual New
New,Bus Route 71 Transport Canberra Code BUS601,Woden Interchange to Cooleman Court,Public Transport,30/08/2021 - Monday,8:42pm,8:49pm,Casual,Casual New
New,Bus Route 7 Transport Canberra Code BUS710,Cooleman Court to City Interchange,Public Transport,30/08/2021 - Monday,10:39pm,11:03pm,Casual,Casual New
New,Bus Route 66 Transport Canberra Code BUS355,Denman Prospect to Woden Interchange,Public Transport,31/08/2021 - Tuesday,7:27pm,7:43pm,Casual,Casual New
New,Bus Route 61 Transport Canberra Code BUS359,Woden Interchange to Phillip,Public Transport,31/08/2021 - Tuesday,7:46pm,7:50pm,Casual,Casual New
