company_name,high,low,last_price,prev_close,change,percent_gain
Asian Paints,"2,761.90","2,685.00","2,760.00","2,695.20",64.8,2.4
Bajaj Finserv,"11,159.00","10,727.20","11,155.90","10,931.75",224.15,2.05
ITC,279.00,271.20,278.10,273.50,4.6,1.68
Cipla,934.80,911.20,932.10,917.20,14.9,1.62
JSW Steel,572.20,556.55,571.60,564.50,7.1,1.26
BPCL,312.00,305.70,311.40,308.40,3,0.97
Shree Cements,"19,237.50","18,898.85","19,189.40","19,009.70",179.7,0.95
Bajaj Finance,"5,454.90","5,335.05","5,449.80","5,400.50",49.3,0.91
HDFC Life,554.90,540.55,554.60,550.00,4.6,0.84
UPL,640.95,621.95,637.40,632.40,5,0.79
HUL,"2,259.90","2,203.60","2,247.10","2,230.60",16.5,0.74
Axis Bank,642.45,631.80,641.15,636.80,4.35,0.68
Nestle,"17,619.00","17,331.05","17,583.60","17,470.00",113.6,0.65
UltraTechCement,"5,644.00","5,485.00","5,643.95","5,607.30",36.65,0.65
Britannia,"3,496.50","3,412.00","3,486.00","3,466.40",19.6,0.57
IndusInd Bank,802.60,783.00,798.90,794.35,4.55,0.57
SBI Life Insura,"1,089.95","1,075.00","1,086.85","1,081.60",5.25,0.49
HDFC,"2,182.30","2,133.10","2,179.10","2,170.85",8.25,0.38
Grasim,"1,328.70","1,305.30","1,325.30","1,320.75",4.55,0.34
Hero Motocorp,"2,752.95","2,683.35","2,726.55","2,719.70",6.85,0.25
Sun Pharma,836.95,825.00,832.50,830.60,1.9,0.23
TATA Cons. Prod,709.45,697.00,707.10,706.35,0.75,0.11
TCS,"3,286.75","3,252.05","3,270.15","3,267.10",3.05,0.09
Tata Steel,872.95,859.10,867.50,867.05,0.45,0.05
