company_name,high,low,last_price,prev_close,change,percent_gain
Titan Company,"2,556.00","2,481.55","2,543.05","2,466.45",76.6,3.11
Hindalco,444.90,436.00,443.60,432.75,10.85,2.51
JSW Steel,664.80,654.00,663.80,648.70,15.1,2.33
SBI Life Insura,"1,327.50","1,306.00","1,327.00","1,297.00",30,2.31
Tata Steel,109.20,107.15,108.70,106.25,2.45,2.31
Tata Steel,109.20,107.15,108.70,106.25,2.45,2.31
Tata Motors,470.45,463.95,469.35,459.20,10.15,2.21
Tata Motors,470.45,463.95,469.35,459.20,10.15,2.21
NTPC,162.15,158.90,161.95,158.90,3.05,1.92
Tech Mahindra,"1,097.55","1,081.30","1,090.00","1,070.60",19.4,1.81
M&M,"1,299.00","1,271.05","1,280.60","1,259.65",20.95,1.66
Divis Labs,"3,597.50","3,540.00","3,593.00","3,535.85",57.15,1.62
Coal India,232.00,226.50,228.35,224.90,3.45,1.53
SBI,528.65,522.20,527.60,520.40,7.2,1.38
Adani Ports,829.20,817.65,827.00,816.00,11,1.35
Larsen,"1,905.00","1,887.20","1,901.50","1,877.90",23.6,1.26
Sun Pharma,890.50,879.35,887.30,877.30,10,1.14
Infosys,"1,544.95","1,528.45","1,535.20","1,518.15",17.05,1.12
Wipro,422.50,418.25,419.75,415.20,4.55,1.1
Hero Motocorp,"2,840.90","2,817.05","2,830.30","2,799.80",30.5,1.09
Grasim,"1,644.90","1,629.95","1,640.90","1,624.85",16.05,0.99
Kotak Mahindra,"1,914.70","1,868.90","1,884.00","1,868.75",15.25,0.82
HDFC Life,581.50,573.75,575.60,571.05,4.55,0.8
Axis Bank,755.00,745.00,748.65,743.35,5.3,0.71
TCS,"3,257.00","3,230.05","3,240.00","3,218.20",21.8,0.68
Cipla,"1,035.70","1,023.60","1,031.50","1,025.75",5.75,0.56
Power Grid Corp,228.70,226.60,227.50,226.30,1.2,0.53
Bajaj Finserv,"16,506.55","16,308.00","16,319.75","16,246.30",73.45,0.45
BPCL,333.90,330.75,331.25,329.80,1.45,0.44
Bajaj Finance,"7,141.50","7,072.00","7,075.00","7,047.15",27.85,0.4
Maruti Suzuki,"8,832.75","8,727.65","8,769.85","8,735.90",33.95,0.39
HCL Tech,956.00,943.75,947.25,943.80,3.45,0.37
ITC,315.40,313.20,313.50,312.35,1.15,0.37
HDFC Bank,"1,481.80","1,468.75","1,470.10","1,464.85",5.25,0.36
Apollo Hospital,"4,210.00","4,156.20","4,183.05","4,168.80",14.25,0.34
Shree Cements,"21,874.50","21,580.00","21,785.00","21,712.60",72.4,0.33
UltraTechCement,"6,570.00","6,483.80","6,496.40","6,475.05",21.35,0.33
TATA Cons. Prod,810.80,798.80,804.40,801.85,2.55,0.32
Nestle,"19,655.20","19,428.00","19,579.00","19,526.65",52.35,0.27
ONGC,138.25,136.25,136.75,136.55,0.2,0.15
HUL,"2,614.70","2,573.70","2,577.45","2,574.20",3.25,0.13
UPL,779.00,763.25,763.40,762.65,0.75,0.1
Dr Reddys Labs,"4,275.00","4,232.75","4,241.10","4,237.90",3.2,0.08
