company_name,high,low,last_price,prev_close,change,percent_gain
ICICI Bank,867.00,798.40,843.95,759.30,84.65,11.15
Axis Bank,855.00,825.45,854.70,816.70,38,4.65
ONGC,161.85,158.90,160.35,157.05,3.3,2.1
SBI,512.65,497.85,511.05,502.95,8.1,1.61
Cipla,913.00,890.00,909.65,896.35,13.3,1.48
M&M,905.90,883.00,897.45,887.85,9.6,1.08
Tata Steel,"1,312.75","1,267.25","1,307.65","1,296.25",11.4,0.88
JSW Steel,674.70,653.05,672.90,667.80,5.1,0.76
Bajaj Finance,"7,787.30","7,350.50","7,755.30","7,710.20",45.1,0.58
Hindalco,478.00,459.35,473.20,470.45,2.75,0.58
Bharti Airtel,700.90,675.00,697.00,694.50,2.5,0.36
IOC,132.40,128.45,131.15,130.70,0.45,0.34
NTPC,146.25,144.35,145.35,144.90,0.45,0.31
Coal India,177.25,173.00,176.30,175.90,0.4,0.23
