company_name,high,low,last_price,prev_close,change,percent_gain
Apollo Hospital,"4,625.95","4,397.10","4,570.45","4,427.35",143.1,3.23
ICICI Bank,853.00,842.15,848.10,836.95,11.15,1.33
Larsen,"1,854.55","1,822.25","1,853.00","1,829.65",23.35,1.28
Sun Pharma,927.00,913.20,921.90,910.40,11.5,1.26
UPL,762.75,752.00,758.20,749.15,9.05,1.21
IndusInd Bank,"1,067.50","1,043.05","1,062.30","1,050.20",12.1,1.15
Coal India,219.45,215.45,217.85,215.40,2.45,1.14
SBI Life Insura,"1,294.30","1,269.90","1,282.95","1,269.90",13.05,1.03
Eicher Motors,"3,169.35","3,117.35","3,147.15","3,116.75",30.4,0.98
Bharti Airtel,718.00,706.00,711.05,704.35,6.7,0.95
Dr Reddys Labs,"4,264.00","4,214.55","4,260.35","4,223.35",37,0.88
Cipla,"1,046.30","1,030.05","1,037.85","1,029.55",8.3,0.81
HDFC Life,542.10,537.00,541.10,536.75,4.35,0.81
Tata Steel,108.35,106.50,108.00,107.20,0.8,0.75
Tata Steel,108.35,106.50,108.00,107.20,0.8,0.75
Nestle,"20,150.00","19,690.00","19,780.00","19,652.95",127.05,0.65
Grasim,"1,609.00","1,586.50","1,606.70","1,598.65",8.05,0.5
HDFC Bank,"1,471.50","1,449.05","1,468.90","1,462.05",6.85,0.47
Hero Motocorp,"2,785.00","2,732.90","2,750.75","2,738.05",12.7,0.46
BPCL,330.25,326.00,326.95,325.65,1.3,0.4
Divis Labs,"3,973.90","3,911.05","3,950.05","3,937.60",12.45,0.32
Bajaj Auto,"4,066.00","4,014.00","4,033.10","4,022.65",10.45,0.26
HDFC,"2,406.85","2,370.85","2,397.80","2,393.70",4.1,0.17
Bajaj Finserv,"15,631.05","15,426.00","15,555.20","15,530.65",24.55,0.16
Power Grid Corp,224.90,220.55,222.25,221.90,0.35,0.16
HUL,"2,676.70","2,648.00","2,653.60","2,650.35",3.25,0.12
Britannia,"3,674.80","3,624.05","3,632.05","3,631.40",0.65,0.02
TATA Cons. Prod,793.70,786.35,788.85,788.70,0.15,0.02
