company_name,high,low,last_price,prev_close,change,percent_gain
NTPC,141.60,138.00,140.85,135.00,5.85,4.33
ONGC,174.70,166.25,172.55,165.70,6.85,4.13
M&M,896.00,860.40,886.20,858.05,28.15,3.28
IndusInd Bank,916.70,895.00,916.25,888.10,28.15,3.17
Adani Ports,732.50,712.60,730.85,709.10,21.75,3.07
IOC,127.05,123.30,126.30,122.70,3.6,2.93
Wipro,564.95,546.65,560.25,544.75,15.5,2.85
UPL,796.75,777.55,793.80,771.95,21.85,2.83
Bajaj Finance,"7,045.60","6,876.10","7,030.00","6,837.00",193,2.82
JSW Steel,642.75,630.20,642.65,626.10,16.55,2.64
TATA Cons. Prod,729.90,706.50,724.25,705.95,18.3,2.59
Tata Motors,507.65,497.00,506.60,494.40,12.2,2.47
Grasim,"1,731.95","1,692.75","1,727.00","1,687.05",39.95,2.37
Tata Steel,"1,120.00","1,105.00","1,114.10","1,088.35",25.75,2.37
BPCL,393.50,384.20,391.00,382.20,8.8,2.3
Bajaj Finserv,"15,787.65","15,405.00","15,678.65","15,359.85",318.8,2.08
Sun Pharma,838.65,812.10,828.95,812.10,16.85,2.07
TCS,"3,727.60","3,646.00","3,724.80","3,649.25",75.55,2.07
Titan Company,"2,359.00","2,313.00","2,356.05","2,310.05",46,1.99
Divis Labs,"4,070.00","3,941.00","4,016.40","3,939.85",76.55,1.94
HDFC,"2,554.25","2,488.70","2,552.00","2,503.35",48.65,1.94
Bharti Airtel,754.00,701.65,720.80,707.25,13.55,1.92
Eicher Motors,"2,747.00","2,655.20","2,693.70","2,643.85",49.85,1.89
ITC,219.20,215.10,218.65,214.60,4.05,1.89
Infosys,"1,727.55","1,679.50","1,709.00","1,678.60",30.4,1.81
Britannia,"3,595.00","3,494.15","3,557.00","3,494.15",62.85,1.8
Hindalco,502.85,492.65,497.75,489.15,8.6,1.76
Shree Cements,"24,457.35","23,943.90","24,331.70","23,961.80",369.9,1.54
Coal India,163.80,160.60,163.00,160.55,2.45,1.53
HDFC Life,632.90,621.35,630.90,621.50,9.4,1.51
SBI Life Insura,"1,237.75","1,208.05","1,229.60","1,211.65",17.95,1.48
UltraTechCement,"7,266.40","7,120.90","7,201.85","7,100.70",101.15,1.42
Larsen,"1,938.65","1,911.45","1,937.85","1,910.85",27,1.41
Dr Reddys Labs,"4,355.00","4,240.05","4,310.95","4,256.35",54.6,1.28
Bajaj Auto,"3,550.00","3,491.00","3,543.90","3,501.10",42.8,1.22
HCL Tech,"1,099.75","1,077.60","1,090.80","1,077.75",13.05,1.21
Kotak Mahindra,"1,925.00","1,890.30","1,912.15","1,889.25",22.9,1.21
Cipla,940.40,917.45,937.35,927.60,9.75,1.05
Nestle,"18,635.00","18,400.00","18,574.55","18,385.45",189.1,1.03
Hero Motocorp,"2,755.00","2,720.00","2,739.55","2,715.00",24.55,0.9
Asian Paints,"3,170.00","3,120.00","3,143.55","3,116.95",26.6,0.85
Axis Bank,784.70,774.00,780.45,773.85,6.6,0.85
Reliance,"2,375.90","2,342.25","2,352.60","2,338.10",14.5,0.62
Tech Mahindra,"1,482.90","1,446.00","1,454.00","1,445.60",8.4,0.58
HDFC Bank,"1,486.70","1,467.95","1,479.80","1,474.95",4.85,0.33
ICICI Bank,805.85,794.80,796.40,794.65,1.75,0.22
SBI,536.40,525.20,530.10,528.95,1.15,0.22
