company_name,high,low,last_price,prev_close,change,percent_gain
Maruti Suzuki,"9,325.00","9,030.00","9,275.15","8,967.20",307.95,3.43
Eicher Motors,"3,668.85","3,553.35","3,660.20","3,541.80",118.4,3.34
Power Grid Corp,235.90,232.35,235.20,232.55,2.65,1.14
NTPC,175.20,172.65,174.10,172.35,1.75,1.02
Coal India,234.75,232.25,234.00,231.95,2.05,0.88
Grasim,"1,801.75","1,776.90","1,798.20","1,782.80",15.4,0.86
Adani Ports,963.65,950.40,955.75,947.85,7.9,0.83
Bharti Airtel,790.65,782.00,787.00,783.35,3.65,0.47
Larsen,"1,984.70","1,956.90","1,960.05","1,953.90",6.15,0.31
JSW Steel,698.00,687.00,694.35,692.85,1.5,0.22
ICICI Bank,936.65,918.10,919.00,918.10,0.9,0.1
ITC,337.05,333.00,335.65,335.35,0.3,0.09
HUL,"2,598.80","2,568.85","2,573.55","2,571.40",2.15,0.08
HDFC,"2,475.00","2,437.00","2,454.55","2,453.35",1.2,0.05
