company_name,high,low,last_price,prev_close,change,percent_gain
Bharti Airtel,720.90,710.10,720.90,709.35,11.55,1.63
Bajaj Auto,"3,737.00","3,645.05","3,702.85","3,654.35",48.5,1.33
Hindalco,627.90,617.00,626.50,622.70,3.8,0.61
ITC,255.70,252.55,254.90,253.35,1.55,0.61
JSW Steel,729.00,718.15,725.30,721.35,3.95,0.55
Maruti Suzuki,"7,539.00","7,422.05","7,455.00","7,415.45",39.55,0.53
Reliance,"2,610.00","2,586.50","2,605.90","2,595.85",10.05,0.39
Eicher Motors,"2,355.00","2,315.20","2,345.45","2,336.85",8.6,0.37
IndusInd Bank,930.45,920.25,928.65,926.25,2.4,0.26
ONGC,177.90,174.65,176.25,175.80,0.45,0.26
Cipla,"1,044.25","1,013.50","1,015.65","1,013.50",2.15,0.21
Coal India,187.95,185.50,186.45,186.10,0.35,0.19
Sun Pharma,910.90,900.00,904.00,902.35,1.65,0.18
Tata Steel,"1,347.95","1,327.60","1,339.35","1,338.95",0.4,0.03
