company_name,high,low,last_price,prev_close,change,percent_gain
Larsen,"1,692.00","1,618.00","1,683.80","1,611.10",72.7,4.51
NTPC,143.80,141.00,143.75,140.45,3.3,2.35
Axis Bank,676.80,661.40,672.05,658.15,13.9,2.11
Coal India,191.90,187.05,188.55,186.00,2.55,1.37
Grasim,"1,407.00","1,382.20","1,393.00","1,374.85",18.15,1.32
Adani Ports,714.00,706.55,712.90,703.60,9.3,1.32
UPL,692.30,681.25,691.50,682.75,8.75,1.28
Power Grid Corp,215.20,212.65,215.05,212.55,2.5,1.18
ICICI Bank,753.50,744.55,749.90,742.00,7.9,1.06
TATA Cons. Prod,764.35,755.90,762.50,754.85,7.65,1.01
Tech Mahindra,"1,034.70","1,018.45","1,030.55","1,020.75",9.8,0.96
SBI Life Insura,"1,141.00","1,127.55","1,135.00","1,124.60",10.4,0.92
Nestle,"18,329.00","18,222.00","18,328.00","18,204.95",123.05,0.68
M&M,"1,194.90","1,136.75","1,140.90","1,133.30",7.6,0.67
Bharti Airtel,692.00,686.65,691.25,686.80,4.45,0.65
Divis Labs,"3,686.40","3,646.35","3,680.10","3,656.40",23.7,0.65
Sun Pharma,859.50,849.75,854.95,849.45,5.5,0.65
Infosys,"1,516.35","1,503.00","1,508.30","1,498.70",9.6,0.64
Dr Reddys Labs,"4,365.00","4,304.40","4,362.05","4,336.45",25.6,0.59
HDFC Bank,"1,410.00","1,399.00","1,403.15","1,395.80",7.35,0.53
Wipro,424.70,420.65,423.05,420.80,2.25,0.53
Titan Company,"2,154.00","2,110.50","2,137.80","2,127.50",10.3,0.48
HUL,"2,493.00","2,452.80","2,483.00","2,472.95",10.05,0.41
UltraTechCement,"5,958.95","5,830.00","5,862.00","5,838.85",23.15,0.4
Hindalco,368.00,357.35,363.00,361.65,1.35,0.37
HCL Tech,999.00,988.20,993.50,989.85,3.65,0.37
Bajaj Auto,"3,830.00","3,805.00","3,809.00","3,795.50",13.5,0.36
SBI,489.90,486.10,488.35,486.75,1.6,0.33
TCS,"3,305.00","3,271.80","3,294.65","3,287.85",6.8,0.21
Apollo Hospital,"3,946.00","3,910.00","3,923.00","3,915.25",7.75,0.2
Cipla,942.25,935.25,936.75,935.25,1.5,0.16
Reliance,"2,418.00","2,383.25","2,391.25","2,388.10",3.15,0.13
Shree Cements,"20,348.00","19,934.15","20,037.30","20,014.60",22.7,0.11
Britannia,"3,850.95","3,802.15","3,813.00","3,810.25",2.75,0.07
Hero Motocorp,"2,879.95","2,840.15","2,841.00","2,839.45",1.55,0.05
Kotak Mahindra,"1,756.45","1,732.20","1,738.85","1,738.50",0.35,0.02
