company_name,high,low,last_price,prev_close,change,percent_gain
Reliance,"2,317.45","2,234.15","2,309.60","2,235.50",74.1,3.31
Tech Mahindra,"1,511.00","1,461.95","1,503.75","1,461.95",41.8,2.86
Dr Reddys Labs,"3,981.30","3,882.20","3,967.05","3,868.55",98.5,2.55
Adani Ports,709.50,692.70,705.05,688.85,16.2,2.35
Sun Pharma,885.80,860.00,874.60,855.00,19.6,2.29
HUL,"1,995.90","1,951.00","1,989.65","1,949.00",40.65,2.09
Infosys,"1,820.00","1,791.00","1,808.05","1,778.20",29.85,1.68
Divis Labs,"4,246.00","4,150.00","4,228.00","4,164.25",63.75,1.53
TATA Cons. Prod,694.90,678.30,694.00,683.70,10.3,1.51
M&M,713.00,700.00,709.85,700.65,9.2,1.31
Cipla,987.55,960.05,982.00,969.55,12.45,1.28
Grasim,"1,481.80","1,443.50","1,476.30","1,458.20",18.1,1.24
Bharti Airtel,692.85,674.30,690.40,683.00,7.4,1.08
UltraTechCement,"5,925.00","5,821.20","5,895.00","5,833.45",61.55,1.06
HCL Tech,"1,195.00","1,161.10","1,186.15","1,175.30",10.85,0.92
HDFC Bank,"1,344.40","1,318.85","1,338.15","1,327.80",10.35,0.78
IndusInd Bank,869.95,838.25,847.15,840.70,6.45,0.77
Titan Company,"2,415.00","2,375.00","2,388.45","2,371.25",17.2,0.73
HDFC,"2,182.00","2,120.35","2,166.95","2,151.70",15.25,0.71
Bajaj Finserv,"14,633.35","14,400.00","14,552.05","14,450.70",101.35,0.7
Wipro,593.50,586.15,591.50,587.45,4.05,0.69
TCS,"3,643.20","3,597.05","3,623.85","3,599.95",23.9,0.66
Larsen,"1,677.75","1,650.05","1,669.05","1,658.50",10.55,0.64
HDFC Life,523.00,508.00,515.20,513.05,2.15,0.42
ITC,228.15,226.10,227.70,226.90,0.8,0.35
Bajaj Finance,"6,219.50","6,121.85","6,180.00","6,161.85",18.15,0.29
SBI,444.00,439.10,440.60,440.30,0.3,0.07
Tata Motors,396.65,389.50,391.95,391.75,0.2,0.05
Maruti Suzuki,"6,966.80","6,781.10","6,808.05","6,806.30",1.75,0.03
