company_name,high,low,last_price,prev_close,change,percent_gain
HCL Tech,989.05,969.30,979.60,952.00,27.6,2.9
Hindalco,416.50,404.50,406.45,400.20,6.25,1.56
Sun Pharma,969.80,951.50,965.10,955.55,9.55,1
Dr Reddys Labs,"4,309.00","4,244.05","4,275.00","4,241.15",33.85,0.8
NTPC,166.80,164.25,165.70,165.00,0.7,0.42
Coal India,235.60,231.10,232.45,232.10,0.35,0.15
Nestle,"18,809.05","18,605.00","18,752.10","18,725.40",26.7,0.14
Cipla,"1,127.85","1,107.10","1,109.90","1,108.45",1.45,0.13
Bajaj Auto,"3,648.80","3,601.05","3,627.00","3,624.50",2.5,0.07
Britannia,"3,777.05","3,748.90","3,765.50","3,763.00",2.5,0.07
Power Grid Corp,217.30,213.45,215.60,215.55,0.05,0.02
