company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,420.00,398.05,418.90,390.95,27.95,7.15
Coal India,182.45,173.15,179.90,171.70,8.2,4.78
JSW Steel,630.00,609.15,626.70,602.30,24.4,4.05
ONGC,160.15,155.55,159.45,153.50,5.95,3.88
Tata Steel,"1,153.75","1,115.35","1,144.25","1,103.50",40.75,3.69
ITC,262.35,254.80,262.00,254.10,7.9,3.11
HCL Tech,"1,077.75","1,045.35","1,076.50","1,044.55",31.95,3.06
Reliance,"2,502.80","2,432.00","2,494.25","2,427.20",67.05,2.76
Eicher Motors,"2,697.85","2,600.15","2,686.20","2,617.95",68.25,2.61
Tata Motors,416.80,405.00,415.75,405.35,10.4,2.57
ICICI Bank,701.50,685.15,700.00,683.00,17,2.49
Larsen,"1,584.60","1,545.00","1,578.95","1,542.90",36.05,2.34
Britannia,"3,365.00","3,285.45","3,360.30","3,284.90",75.4,2.3
Wipro,478.85,468.30,478.25,468.00,10.25,2.19
HUL,"2,277.00","2,221.30","2,264.65","2,217.25",47.4,2.14
Maruti Suzuki,"7,399.05","7,255.05","7,389.90","7,247.60",142.3,1.96
Apollo Hospital,"3,761.95","3,678.05","3,755.90","3,686.75",69.15,1.88
Infosys,"1,517.55","1,480.90","1,513.00","1,489.10",23.9,1.6
Adani Ports,725.00,715.35,723.05,712.50,10.55,1.48
Bajaj Auto,"3,784.20","3,725.10","3,763.10","3,715.85",47.25,1.27
Hero Motocorp,"2,532.25","2,502.05","2,525.65","2,495.90",29.75,1.19
Bajaj Finance,"5,732.70","5,652.00","5,711.50","5,645.40",66.1,1.17
IndusInd Bank,902.65,888.10,895.95,885.90,10.05,1.13
TCS,"3,432.90","3,350.40","3,414.20","3,376.80",37.4,1.11
Kotak Mahindra,"1,836.85","1,817.60","1,831.10","1,812.85",18.25,1.01
Bharti Airtel,704.30,690.85,700.10,693.20,6.9,1
Tech Mahindra,"1,209.95","1,183.15","1,200.95","1,189.05",11.9,1
BPCL,341.20,334.15,339.35,336.10,3.25,0.97
Axis Bank,648.95,641.15,644.90,638.95,5.95,0.93
SBI,460.40,456.15,458.30,455.00,3.3,0.73
SBI Life Insura,"1,055.45","1,036.30","1,051.15","1,044.65",6.5,0.62
Titan Company,"2,145.00","2,111.00","2,122.10","2,109.60",12.5,0.59
Nestle,"16,390.00","16,164.65","16,312.90","16,218.85",94.05,0.58
UPL,809.75,798.70,806.45,802.25,4.2,0.52
Asian Paints,"3,025.20","2,951.00","3,015.20","2,999.90",15.3,0.51
Divis Labs,"4,250.05","4,202.35","4,237.45","4,218.10",19.35,0.46
HDFC,"2,196.60","2,160.75","2,181.00","2,172.10",8.9,0.41
Grasim,"1,470.05","1,448.05","1,456.75","1,452.25",4.5,0.31
Bajaj Finserv,"12,839.40","12,630.00","12,690.00","12,655.25",34.75,0.27
Dr Reddys Labs,"3,944.85","3,890.90","3,898.90","3,888.40",10.5,0.27
M&M,917.00,902.50,905.10,903.35,1.75,0.19
Shree Cements,"22,194.40","21,790.00","22,021.15","21,980.85",40.3,0.18
Sun Pharma,888.00,878.70,887.10,885.60,1.5,0.17
HDFC Bank,"1,314.80","1,298.20","1,306.45","1,305.10",1.35,0.1
