company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"2,715.00","2,620.10","2,699.20","2,591.90",107.3,4.14
Coal India,152.45,147.00,152.00,146.05,5.95,4.07
Tata Motors,499.80,492.00,495.70,482.40,13.3,2.76
TCS,"3,820.00","3,745.00","3,819.35","3,738.35",81,2.17
Bajaj Finserv,"16,747.00","16,406.50","16,720.05","16,406.20",313.85,1.91
Axis Bank,690.95,679.00,689.50,678.55,10.95,1.61
ICICI Bank,752.25,743.00,750.85,740.15,10.7,1.45
HDFC Bank,"1,503.90","1,480.50","1,500.20","1,479.40",20.8,1.41
Bajaj Finance,"7,078.80","6,975.00","7,071.00","6,977.30",93.7,1.34
Larsen,"1,928.90","1,893.65","1,921.05","1,895.90",25.15,1.33
NTPC,126.20,124.70,126.05,124.40,1.65,1.33
SBI,467.20,460.10,466.45,460.45,6,1.3
UPL,756.90,750.00,756.70,747.10,9.6,1.28
Asian Paints,"3,429.90","3,383.00","3,426.00","3,382.95",43.05,1.27
Infosys,"1,914.05","1,887.75","1,910.70","1,887.75",22.95,1.22
Tata Steel,"1,124.90","1,115.00","1,123.20","1,111.45",11.75,1.06
Maruti Suzuki,"7,605.95","7,420.00","7,502.40","7,426.45",75.95,1.02
HCL Tech,"1,339.90","1,314.10","1,332.40","1,319.10",13.3,1.01
SBI Life Insura,"1,211.55","1,196.00","1,207.85","1,196.00",11.85,0.99
HDFC,"2,614.00","2,587.10","2,610.45","2,586.45",24,0.93
IOC,112.70,111.35,112.50,111.50,1,0.9
Bajaj Auto,"3,288.35","3,251.50","3,276.95","3,249.25",27.7,0.85
Reliance,"2,392.00","2,363.55","2,387.70","2,368.15",19.55,0.83
Adani Ports,738.65,731.35,736.00,730.30,5.7,0.78
Hero Motocorp,"2,496.50","2,463.00","2,479.50","2,462.10",17.4,0.71
Power Grid Corp,206.95,205.00,205.80,204.40,1.4,0.68
Wipro,726.80,716.20,720.00,715.35,4.65,0.65
Bharti Airtel,688.90,683.10,688.00,683.80,4.2,0.61
TATA Cons. Prod,747.00,740.00,745.90,743.45,2.45,0.33
ONGC,143.45,141.20,142.85,142.40,0.45,0.32
Kotak Mahindra,"1,814.70","1,791.60","1,801.00","1,796.10",4.9,0.27
Nestle,"19,814.00","19,654.15","19,758.60","19,705.70",52.9,0.27
JSW Steel,660.80,654.70,657.25,655.95,1.3,0.2
Grasim,"1,638.75","1,617.00","1,625.00","1,622.25",2.75,0.17
HDFC Life,654.65,646.30,650.65,649.55,1.1,0.17
Tech Mahindra,"1,818.00","1,791.00","1,793.00","1,790.55",2.45,0.14
HUL,"2,378.00","2,353.00","2,363.10","2,360.15",2.95,0.12
BPCL,387.00,384.00,385.75,385.45,0.3,0.08
ITC,218.95,217.05,218.20,218.05,0.15,0.07
UltraTechCement,"7,638.00","7,570.05","7,595.00","7,591.05",3.95,0.05
