company_name,high,low,last_price,prev_close,change,percent_gain
Bharti Airtel,752.80,737.00,752.75,733.05,19.7,2.69
Divis Labs,"4,538.95","4,410.00","4,522.45","4,416.55",105.9,2.4
Adani Ports,760.85,738.05,753.75,737.00,16.75,2.27
HDFC,"2,326.85","2,284.00","2,319.15","2,268.25",50.9,2.24
UltraTechCement,"6,548.00","6,376.00","6,500.00","6,359.95",140.05,2.2
SBI Life Insura,"1,114.95","1,089.00","1,099.35","1,077.00",22.35,2.08
Shree Cements,"23,740.00","23,230.00","23,570.00","23,197.55",372.45,1.61
Cipla,"1,039.85","1,020.20","1,032.40","1,017.10",15.3,1.5
HDFC Life,520.85,514.40,519.10,512.60,6.5,1.27
Bajaj Auto,"3,735.00","3,690.05","3,728.00","3,687.75",40.25,1.09
UPL,790.40,780.75,789.05,780.75,8.3,1.06
Tata Motors,439.35,435.00,436.90,432.70,4.2,0.97
Asian Paints,"3,087.70","3,047.70","3,056.60","3,027.45",29.15,0.96
M&M,776.50,770.70,776.00,769.25,6.75,0.88
Maruti Suzuki,"7,563.10","7,512.00","7,538.10","7,477.35",60.75,0.81
Dr Reddys Labs,"4,336.20","4,247.05","4,317.10","4,285.45",31.65,0.74
HCL Tech,"1,173.95","1,165.00","1,172.40","1,163.95",8.45,0.73
HUL,"1,994.85","1,974.05","1,989.00","1,975.10",13.9,0.7
Eicher Motors,"2,399.90","2,360.05","2,394.70","2,380.00",14.7,0.62
Bajaj Finance,"7,055.50","6,984.50","7,041.15","7,001.40",39.75,0.57
HDFC Bank,"1,444.30","1,430.00","1,440.50","1,432.80",7.7,0.54
JSW Steel,734.50,726.65,734.05,730.10,3.95,0.54
Britannia,"3,134.00","3,096.00","3,111.00","3,094.80",16.2,0.52
Titan Company,"2,556.75","2,531.55","2,548.95","2,535.90",13.05,0.51
ICICI Bank,716.90,709.60,713.85,710.35,3.5,0.49
Grasim,"1,638.60","1,615.15","1,618.50","1,610.95",7.55,0.47
Kotak Mahindra,"1,740.90","1,723.50","1,732.85","1,725.20",7.65,0.44
TATA Cons. Prod,747.75,740.00,744.35,741.25,3.1,0.42
Axis Bank,741.65,733.35,739.10,736.00,3.1,0.42
Hero Motocorp,"2,401.00","2,381.00","2,386.55","2,377.95",8.6,0.36
Nestle,"16,999.95","16,825.00","16,915.20","16,860.05",55.15,0.33
Power Grid Corp,214.45,212.10,213.00,212.30,0.7,0.33
Wipro,605.35,601.00,602.05,600.20,1.85,0.31
Sun Pharma,912.50,901.10,907.60,905.90,1.7,0.19
IOC,121.30,119.65,120.15,119.95,0.2,0.17
SBI,501.40,495.85,498.10,497.50,0.6,0.12
Tata Steel,"1,346.15","1,332.00","1,340.50","1,338.95",1.55,0.12
BPCL,362.40,358.60,359.80,359.70,0.1,0.03
