company_name,high,low,last_price,prev_close,change,percent_gain
Tata Motors,434.95,423.65,432.35,405.90,26.45,6.52
Axis Bank,720.40,696.60,717.30,674.20,43.1,6.39
IndusInd Bank,923.80,890.70,923.00,875.35,47.65,5.44
Bajaj Finserv,"15,850.00","15,416.05","15,760.00","15,015.20",744.8,4.96
HUL,"2,096.20","2,049.00","2,095.55","1,997.90",97.65,4.89
Grasim,"1,575.00","1,531.10","1,565.35","1,493.35",72,4.82
ICICI Bank,701.00,687.15,698.70,667.45,31.25,4.68
SBI,476.65,466.10,472.20,451.70,20.5,4.54
Maruti Suzuki,"7,399.85","7,225.00","7,318.00","7,026.85",291.15,4.14
Bajaj Finance,"6,794.00","6,630.00","6,740.00","6,472.50",267.5,4.13
Kotak Mahindra,"1,812.00","1,758.45","1,805.90","1,739.10",66.8,3.84
Larsen,"1,758.00","1,715.00","1,754.70","1,690.95",63.75,3.77
UltraTechCement,"6,261.20","6,135.25","6,223.55","6,017.35",206.2,3.43
HDFC Bank,"1,427.00","1,395.85","1,418.00","1,371.15",46.85,3.42
Adani Ports,737.65,721.50,736.80,714.10,22.7,3.18
HDFC,"2,287.00","2,250.00","2,259.00","2,194.40",64.6,2.94
M&M,762.50,745.65,756.30,734.85,21.45,2.92
Asian Paints,"3,040.00","2,933.00","2,954.45","2,874.95",79.5,2.77
IOC,120.65,117.70,120.00,116.95,3.05,2.61
Titan Company,"2,500.85","2,450.60","2,495.00","2,433.65",61.35,2.52
TATA Cons. Prod,718.50,705.55,716.70,699.15,17.55,2.51
Eicher Motors,"2,393.45","2,345.05","2,349.95","2,293.05",56.9,2.48
Bajaj Auto,"3,440.00","3,385.40","3,414.45","3,339.00",75.45,2.26
HDFC Life,529.75,521.45,526.30,514.70,11.6,2.25
Hero Motocorp,"2,410.45","2,321.15","2,341.85","2,290.50",51.35,2.24
Shree Cements,"22,749.90","22,165.55","22,401.00","21,964.65",436.35,1.99
SBI Life Insura,"1,052.15","1,036.05","1,044.45","1,025.20",19.25,1.88
BPCL,354.00,348.00,348.85,342.65,6.2,1.81
Reliance,"2,405.00","2,362.20","2,396.50","2,354.10",42.4,1.8
Nestle,"17,488.60","17,221.00","17,452.95","17,145.60",307.35,1.79
NTPC,135.00,132.35,133.85,131.50,2.35,1.79
Britannia,"3,225.00","3,161.05","3,179.10","3,123.85",55.25,1.77
Divis Labs,"4,300.00","4,252.25","4,296.70","4,234.05",62.65,1.48
Bharti Airtel,707.50,695.20,701.00,691.50,9.5,1.37
JSW Steel,641.45,624.00,635.05,627.15,7.9,1.26
UPL,742.40,726.80,733.80,725.20,8.6,1.19
Wipro,596.50,587.00,591.95,585.50,6.45,1.1
Power Grid Corp,211.40,208.80,209.45,208.10,1.35,0.65
TCS,"3,684.00","3,635.35","3,649.10","3,632.60",16.5,0.45
Dr Reddys Labs,"3,986.50","3,923.00","3,944.90","3,930.45",14.45,0.37
Tata Steel,"1,272.90","1,241.00","1,259.50","1,255.35",4.15,0.33
Sun Pharma,881.90,868.95,870.85,868.25,2.6,0.3
Infosys,"1,844.75","1,810.20","1,818.50","1,813.35",5.15,0.28
ITC,231.35,228.40,229.35,229.25,0.1,0.04
