company_name,high,low,last_price,prev_close,change,percent_gain
IndusInd Bank,"1,063.45","1,032.05","1,060.70","1,040.15",20.55,1.98
SBI,544.45,531.10,543.95,533.75,10.2,1.91
Apollo Hospital,"4,340.00","4,270.95","4,338.15","4,288.10",50.05,1.17
Asian Paints,"3,390.00","3,325.60","3,361.90","3,324.55",37.35,1.12
Divis Labs,"3,839.00","3,787.00","3,833.50","3,795.20",38.3,1.01
Bajaj Finserv,"15,215.00","14,861.35","15,208.75","15,073.10",135.65,0.9
HUL,"2,633.85","2,599.00","2,614.50","2,593.00",21.5,0.83
ITC,316.65,308.20,310.00,307.50,2.5,0.81
Titan Company,"2,395.95","2,357.05","2,395.00","2,376.25",18.75,0.79
Grasim,"1,584.00","1,552.00","1,580.65","1,568.40",12.25,0.78
Nestle,"19,500.00","19,300.20","19,402.60","19,255.20",147.4,0.77
TATA Cons. Prod,826.00,812.45,816.35,811.10,5.25,0.65
Adani Ports,810.40,795.00,806.25,801.25,5,0.62
Coal India,216.80,211.65,213.90,212.75,1.15,0.54
NTPC,158.15,156.55,157.25,156.50,0.75,0.48
Bajaj Finance,"7,300.00","7,182.20","7,293.85","7,261.00",32.85,0.45
Power Grid Corp,220.90,217.35,219.75,218.95,0.8,0.37
Shree Cements,"21,032.85","20,810.10","21,020.10","20,947.00",73.1,0.35
M&M,"1,244.30","1,226.20","1,241.95","1,237.75",4.2,0.34
BPCL,341.50,334.05,334.85,334.15,0.7,0.21
Reliance,"2,607.80","2,561.55","2,579.55","2,574.85",4.7,0.18
Bajaj Auto,"3,987.30","3,941.35","3,980.00","3,973.30",6.7,0.17
