company_name,high,low,last_price,prev_close,change,percent_gain
NTPC,163.15,154.50,162.05,153.95,8.1,5.26
SBI Life Insura,"1,180.45","1,133.60","1,180.05","1,146.90",33.15,2.89
Tata Steel,"1,358.05","1,328.85","1,347.10","1,319.50",27.6,2.09
ONGC,179.00,175.10,176.30,174.25,2.05,1.18
Coal India,190.90,184.60,188.60,186.60,2,1.07
HDFC Life,571.00,555.25,570.00,564.85,5.15,0.91
HUL,"2,169.60","2,135.05","2,168.50","2,152.15",16.35,0.76
Divis Labs,"4,568.20","4,450.25","4,531.75","4,499.25",32.5,0.72
Bajaj Auto,"3,758.25","3,645.25","3,721.05","3,697.30",23.75,0.64
M&M,875.00,858.10,869.05,866.10,2.95,0.34
Nestle,"18,450.00","18,300.00","18,432.45","18,382.40",50.05,0.27
JSW Steel,775.00,758.40,767.50,766.35,1.15,0.15
