company_name,high,low,last_price,prev_close,change,percent_gain
Cipla,"1,026.65","1,008.05","1,023.00","1,004.20",18.8,1.87
TCS,"3,318.80","3,277.05","3,308.25","3,291.80",16.45,0.5
Bharti Airtel,696.85,687.00,690.15,686.80,3.35,0.49
Infosys,"1,559.90","1,539.90","1,550.00","1,543.60",6.4,0.41
Tech Mahindra,"1,046.95","1,024.70","1,036.35","1,032.60",3.75,0.36
JSW Steel,660.80,648.00,651.00,648.70,2.3,0.35
Divis Labs,"3,863.95","3,812.00","3,838.00","3,824.90",13.1,0.34
SBI,546.40,538.40,543.55,542.10,1.45,0.27
HCL Tech,961.80,950.05,953.00,951.05,1.95,0.21
Wipro,433.00,427.50,430.45,429.60,0.85,0.2
