company_name,high,low,last_price,prev_close,change,percent_gain
HUL,"2,694.65","2,631.00","2,688.60","2,645.00",43.6,1.65
Reliance,"2,244.90","2,205.00","2,238.55","2,202.60",35.95,1.63
HDFC Life,702.00,690.00,697.10,687.55,9.55,1.39
Britannia,"3,903.20","3,825.20","3,884.90","3,842.80",42.1,1.1
Kotak Mahindra,"1,716.50","1,688.90","1,714.00","1,697.20",16.8,0.99
HCL Tech,"1,172.00","1,155.00","1,164.50","1,154.35",10.15,0.88
M&M,779.25,767.25,778.15,772.05,6.1,0.79
TATA Cons. Prod,847.90,838.10,841.70,836.00,5.7,0.68
Asian Paints,"3,084.50","3,046.20","3,054.05","3,038.05",16,0.53
TCS,"3,687.60","3,650.00","3,678.50","3,659.00",19.5,0.53
ICICI Bank,695.40,690.00,694.25,691.05,3.2,0.46
Adani Ports,733.00,718.55,723.45,720.75,2.7,0.37
HDFC,"2,711.25","2,682.20","2,708.70","2,699.25",9.45,0.35
Nestle,"20,049.85","19,838.50","19,965.00","19,909.85",55.15,0.28
Infosys,"1,746.00","1,732.00","1,739.15","1,735.55",3.6,0.21
Wipro,638.50,632.20,632.50,631.65,0.85,0.13
Sun Pharma,770.95,764.10,770.00,769.05,0.95,0.12
Divis Labs,"4,877.20","4,831.00","4,859.90","4,856.50",3.4,0.07
Axis Bank,740.00,732.35,739.40,739.05,0.35,0.05
