company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,551.20,526.50,549.70,516.10,33.6,6.51
Tata Motors,524.30,503.60,520.45,497.60,22.85,4.59
JSW Steel,724.50,695.50,723.20,692.85,30.35,4.38
Titan Company,"2,677.90","2,575.50","2,657.00","2,564.05",92.95,3.63
Tata Steel,"1,423.00","1,391.10","1,420.50","1,375.05",45.45,3.31
ONGC,165.50,161.20,164.00,159.05,4.95,3.11
Infosys,"1,772.85","1,740.00","1,762.95","1,715.75",47.2,2.75
Bajaj Finserv,"19,100.00","18,552.80","18,985.75","18,488.90",496.85,2.69
ITC,263.60,257.35,262.85,256.55,6.3,2.46
Maruti Suzuki,"7,680.00","7,405.00","7,675.70","7,496.90",178.8,2.38
IOC,140.00,135.75,137.50,134.40,3.1,2.31
ICICI Bank,746.45,732.05,742.40,727.30,15.1,2.08
Grasim,"1,795.00","1,746.00","1,783.95","1,752.50",31.45,1.79
Adani Ports,829.90,813.00,827.30,812.80,14.5,1.78
SBI,500.00,491.70,497.00,490.60,6.4,1.3
Power Grid Corp,209.95,205.30,207.00,204.65,2.35,1.15
Coal India,187.75,184.30,185.90,183.80,2.1,1.14
BPCL,470.00,462.00,464.25,459.30,4.95,1.08
SBI Life Insura,"1,220.00","1,185.55","1,198.25","1,185.55",12.7,1.07
UltraTechCement,"7,535.00","7,430.00","7,473.95","7,395.50",78.45,1.06
NTPC,151.70,149.25,150.95,149.40,1.55,1.04
UPL,756.65,745.20,755.65,747.85,7.8,1.04
Tech Mahindra,"1,448.55","1,420.00","1,444.20","1,430.80",13.4,0.94
Shree Cements,"28,194.90","27,980.00","28,189.90","27,956.45",233.45,0.84
IndusInd Bank,"1,229.65","1,196.05","1,219.75","1,210.00",9.75,0.81
Bharti Airtel,701.95,689.55,690.55,685.80,4.75,0.69
Wipro,720.80,702.40,712.25,708.25,4,0.56
Larsen,"1,810.50","1,787.00","1,795.80","1,789.30",6.5,0.36
TCS,"3,644.00","3,601.45","3,622.00","3,611.45",10.55,0.29
Nestle,"19,600.00","19,350.05","19,376.55","19,325.40",51.15,0.26
TATA Cons. Prod,863.00,850.00,851.45,849.60,1.85,0.22
Hero Motocorp,"2,950.00","2,917.15","2,933.00","2,927.80",5.2,0.18
Kotak Mahindra,"2,046.95","2,015.00","2,020.75","2,017.80",2.95,0.15
Axis Bank,820.00,802.05,803.20,802.05,1.15,0.14
HUL,"2,678.90","2,648.50","2,651.80","2,649.55",2.25,0.08
Reliance,"2,716.00","2,662.30","2,702.55","2,700.40",2.15,0.08
