company_name,high,low,last_price,prev_close,change,percent_gain
Bharti Airtel,755.95,736.30,740.55,714.35,26.2,3.67
Asian Paints,"3,308.35","3,230.00","3,285.00","3,226.85",58.15,1.8
Power Grid Corp,197.00,192.00,194.85,192.50,2.35,1.22
Britannia,"3,628.50","3,577.05","3,605.00","3,571.60",33.4,0.94
Hindalco,447.20,432.90,444.25,440.30,3.95,0.9
Cipla,909.00,890.65,898.55,892.30,6.25,0.7
TCS,"3,508.00","3,462.20","3,499.75","3,475.70",24.05,0.69
Wipro,660.45,652.10,653.50,651.45,2.05,0.31
JSW Steel,660.60,645.05,651.10,650.55,0.55,0.08
Grasim,"1,798.30","1,765.05","1,774.60","1,774.50",0.1,0.01
