company_name,high,low,last_price,prev_close,change,percent_gain
HDFC Life,552.50,537.60,551.80,541.25,10.55,1.95
Axis Bank,639.30,623.65,637.40,625.55,11.85,1.89
SBI Life Insura,"1,085.00","1,057.55","1,083.75","1,067.65",16.1,1.51
Kotak Mahindra,"1,674.15","1,631.00","1,663.80","1,642.45",21.35,1.3
SBI,469.30,458.60,464.20,459.10,5.1,1.11
Titan Company,"1,959.95","1,926.00","1,955.85","1,936.15",19.7,1.02
Maruti Suzuki,"8,634.60","8,482.00","8,594.75","8,508.90",85.85,1.01
Power Grid Corp,214.75,211.50,213.20,211.10,2.1,0.99
Reliance,"2,615.90","2,574.10","2,595.40","2,580.15",15.25,0.59
Larsen,"1,560.70","1,542.10","1,556.50","1,547.90",8.6,0.56
Britannia,"3,468.70","3,380.00","3,419.40","3,404.15",15.25,0.45
ICICI Bank,710.95,701.20,705.80,702.75,3.05,0.43
Asian Paints,"2,726.95","2,695.10","2,703.10","2,697.80",5.3,0.2
NTPC,143.20,141.70,141.90,141.75,0.15,0.11
Infosys,"1,482.00","1,462.80","1,463.45","1,463.25",0.2,0.01
