company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finance,"6,999.00","6,522.00","6,935.00","6,396.35",538.65,8.42
Bajaj Finserv,"14,438.00","13,507.00","14,405.00","13,307.05","1,097.95",8.25
IndusInd Bank,"1,013.60",989.10,"1,012.15",979.80,32.35,3.3
Wipro,416.85,410.90,416.70,406.65,10.05,2.47
Infosys,"1,507.70","1,489.85","1,507.30","1,471.05",36.25,2.46
Tech Mahindra,"1,032.65","1,015.40","1,031.60","1,007.65",23.95,2.38
Kotak Mahindra,"1,795.90","1,765.00","1,789.80","1,754.10",35.70,2.04
HCL Tech,945.50,932.70,945.30,928.45,16.85,1.81
TCS,"3,246.40","3,201.65","3,242.00","3,188.85",53.15,1.67
Axis Bank,733.70,723.05,730.65,718.95,11.70,1.63
Apollo Hospital,"4,206.00","4,135.00","4,192.00","4,125.60",66.40,1.61
Asian Paints,"3,240.00","3,182.00","3,237.15","3,186.05",51.10,1.6
JSW Steel,612.30,603.05,612.00,602.70,9.30,1.54
Divis Labs,"3,859.90","3,775.10","3,842.20","3,786.45",55.75,1.47
Shree Cements,"21,377.00","20,972.60","21,315.05","21,023.50",291.55,1.39
Reliance,"2,450.85","2,421.00","2,449.50","2,419.20",30.30,1.25
HDFC,"2,345.60","2,319.00","2,341.90","2,313.35",28.55,1.23
Grasim,"1,567.05","1,550.80","1,565.00","1,546.85",18.15,1.17
SBI Life Insura,"1,163.95","1,147.50","1,162.80","1,149.35",13.45,1.17
ICICI Bank,811.60,805.30,809.65,800.50,9.15,1.14
BPCL,328.20,321.85,328.20,324.60,3.60,1.11
Power Grid Corp,213.50,210.05,212.95,210.65,2.30,1.09
Tata Motors,448.80,427.40,448.75,444.05,4.70,1.06
Tata Motors,448.80,427.40,448.75,444.05,4.70,1.06
HDFC Bank,"1,424.00","1,411.00","1,418.80","1,404.40",14.40,1.03
M&M,"1,148.90","1,135.35","1,148.65","1,138.10",10.55,0.93
Hero Motocorp,"2,808.00","2,776.50","2,807.70","2,782.55",25.15,0.9
UPL,728.90,719.40,727.90,721.60,6.30,0.87
Nestle,"19,000.00","18,460.00","18,698.40","18,541.90",156.50,0.84
Titan Company,"2,328.00","2,305.05","2,319.75","2,303.55",16.20,0.7
SBI,537.50,531.00,531.50,528.20,3.30,0.62
Maruti Suzuki,"8,770.15","8,628.80","8,707.15","8,658.10",49.05,0.57
Bajaj Auto,"3,913.70","3,868.65","3,905.45","3,883.85",21.60,0.56
Hindalco,394.00,385.90,390.50,388.65,1.85,0.48
HUL,"2,625.00","2,585.00","2,594.25","2,581.95",12.30,0.48
Adani Ports,768.60,757.65,763.75,760.65,3.10,0.41
TATA Cons. Prod,806.80,798.60,804.80,801.60,3.20,0.4
Larsen,"1,816.00","1,795.55","1,802.70","1,796.65",6.05,0.34
ONGC,130.40,128.30,128.95,128.60,0.35,0.27
Britannia,"3,882.00","3,837.70","3,863.70","3,854.55",9.15,0.24
NTPC,150.40,149.05,149.95,149.70,0.25,0.17
Eicher Motors,"3,078.85","3,031.10","3,060.40","3,057.40",3.00,0.1
UltraTechCement,"6,560.00","6,487.25","6,536.40","6,535.35",1.05,0.02
HDFC Life,526.00,519.65,521.30,521.25,0.05,0.01
