company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"2,413.85","2,334.95","2,409.00","2,344.30",64.7,2.76
UltraTechCement,"6,407.70","6,200.55","6,350.10","6,224.60",125.5,2.02
Bajaj Auto,"3,639.00","3,540.00","3,639.00","3,568.75",70.25,1.97
Maruti Suzuki,"7,504.80","7,350.15","7,492.05","7,360.30",131.75,1.79
HUL,"2,174.00","2,119.00","2,152.30","2,116.65",35.65,1.68
HDFC,"2,207.20","2,160.25","2,203.30","2,168.30",35,1.61
SBI Life Insura,"1,091.10","1,062.00","1,080.60","1,064.45",16.15,1.52
Bharti Airtel,728.50,710.15,722.20,711.50,10.7,1.5
Asian Paints,"3,109.00","3,036.00","3,045.30","3,005.25",40.05,1.33
UPL,793.85,778.55,787.70,777.60,10.1,1.3
Divis Labs,"4,284.85","4,210.00","4,273.90","4,231.10",42.8,1.01
NTPC,161.25,158.35,160.20,159.00,1.2,0.75
Shree Cements,"24,479.00","23,899.15","24,238.90","24,058.30",180.6,0.75
IndusInd Bank,911.00,888.00,896.00,889.70,6.3,0.71
HDFC Bank,"1,332.30","1,315.05","1,328.75","1,319.85",8.9,0.67
Kotak Mahindra,"1,789.90","1,767.50","1,778.80","1,767.50",11.3,0.64
HDFC Life,568.30,561.00,567.40,563.85,3.55,0.63
Power Grid Corp,248.35,244.45,246.60,245.15,1.45,0.59
SBI,482.55,476.55,478.30,475.90,2.4,0.5
ITC,264.95,261.90,264.25,262.95,1.3,0.49
Britannia,"3,320.60","3,240.10","3,267.45","3,252.05",15.4,0.47
M&M,910.95,895.30,899.00,895.30,3.7,0.41
Dr Reddys Labs,"3,934.00","3,899.95","3,921.20","3,905.80",15.4,0.39
TATA Cons. Prod,772.45,758.10,760.35,758.25,2.1,0.28
Hero Motocorp,"2,519.35","2,485.00","2,499.25","2,492.75",6.5,0.26
Bajaj Finserv,"13,979.20","13,758.25","13,812.35","13,783.85",28.5,0.21
BPCL,358.00,352.00,354.15,353.40,0.75,0.21
TCS,"3,457.40","3,422.00","3,452.35","3,445.10",7.25,0.21
Grasim,"1,575.85","1,550.80","1,553.30","1,551.75",1.55,0.1
