company_name,high,low,last_price,prev_close,change,percent_gain
Coal India,231.85,224.65,231.20,223.25,7.95,3.56
JSW Steel,668.75,648.40,664.45,643.20,21.25,3.3
Hindalco,408.60,399.40,406.25,394.05,12.2,3.1
ICICI Bank,885.65,873.05,883.85,867.65,16.2,1.87
Larsen,"1,915.00","1,878.10","1,903.60","1,871.55",32.05,1.71
HCL Tech,967.95,955.50,961.40,946.00,15.4,1.63
Axis Bank,760.40,746.00,754.70,742.80,11.9,1.6
Tata Steel,103.80,101.75,102.70,101.15,1.55,1.53
Tata Steel,103.80,101.75,102.70,101.15,1.55,1.53
Tata Motors,417.65,409.50,413.55,407.90,5.65,1.39
Tata Motors,417.65,409.50,413.55,407.90,5.65,1.39
ITC,339.30,332.55,336.90,332.85,4.05,1.22
Infosys,"1,459.80","1,444.10","1,445.75","1,429.40",16.35,1.14
SBI,539.40,534.60,538.05,532.70,5.35,1
Maruti Suzuki,"8,825.00","8,726.10","8,765.50","8,690.50",75,0.86
Wipro,413.00,407.45,408.95,405.50,3.45,0.85
Reliance,"2,450.00","2,421.00","2,433.50","2,413.20",20.3,0.84
Sun Pharma,962.00,951.45,952.15,944.55,7.6,0.8
M&M,"1,277.00","1,261.85","1,269.70","1,260.35",9.35,0.74
HDFC Life,539.20,533.20,535.10,531.95,3.15,0.59
Hero Motocorp,"2,663.65","2,630.25","2,633.55","2,621.80",11.75,0.45
TCS,"3,124.00","3,094.05","3,102.00","3,091.15",10.85,0.35
Titan Company,"2,620.00","2,590.00","2,592.35","2,585.10",7.25,0.28
Adani Enterpris,"3,290.00","3,208.05","3,245.75","3,237.70",8.05,0.25
Tech Mahindra,"1,045.00","1,030.10","1,030.75","1,028.30",2.45,0.24
Nestle,"19,525.15","19,237.25","19,266.85","19,251.85",15,0.08
NTPC,165.10,162.60,162.60,162.55,0.05,0.03
