company_name,high,low,last_price,prev_close,change,percent_gain
Dr Reddys Labs,"4,335.00","4,170.10","4,324.95","4,199.15",125.8,3
ONGC,167.35,164.50,166.55,163.40,3.15,1.93
Reliance,"2,768.00","2,710.00","2,758.30","2,724.05",34.25,1.26
Maruti Suzuki,"7,986.60","7,830.10","7,978.95","7,892.45",86.5,1.1
UPL,744.90,726.70,742.80,735.15,7.65,1.04
Bajaj Auto,"3,848.95","3,779.40","3,833.00","3,794.15",38.85,1.02
Bharti Airtel,670.55,655.10,669.50,663.30,6.2,0.93
SBI Life Insura,"1,149.45","1,130.55","1,145.65","1,136.05",9.6,0.85
ITC,270.85,265.75,270.10,267.90,2.2,0.82
Coal India,200.40,196.50,199.20,197.65,1.55,0.78
Eicher Motors,"2,674.60","2,621.00","2,666.70","2,649.15",17.55,0.66
HDFC Life,605.40,592.00,603.70,599.95,3.75,0.63
Titan Company,"2,154.00","2,103.00","2,140.90","2,128.85",12.05,0.57
Tech Mahindra,"1,132.80","1,111.65","1,128.35","1,124.20",4.15,0.37
Cipla,974.30,955.00,966.35,962.95,3.4,0.35
IndusInd Bank,918.95,906.35,916.50,913.70,2.8,0.31
Kotak Mahindra,"1,850.00","1,827.70","1,848.70","1,845.50",3.2,0.17
Adani Ports,732.70,723.10,729.75,728.60,1.15,0.16
Hero Motocorp,"2,598.00","2,560.00","2,589.55","2,585.95",3.6,0.14
TCS,"3,409.00","3,353.10","3,408.95","3,404.15",4.8,0.14
Infosys,"1,504.75","1,481.50","1,501.50","1,500.00",1.5,0.1
HUL,"2,200.45","2,170.75","2,198.60","2,197.05",1.55,0.07
Sun Pharma,853.95,835.45,847.80,847.25,0.55,0.06
M&M,"1,049.30","1,032.00","1,045.55","1,045.00",0.55,0.05
NTPC,158.00,155.30,157.10,157.05,0.05,0.03
HDFC Bank,"1,369.00","1,357.15","1,367.50","1,367.40",0.1,0.01
