company_name,high,low,last_price,prev_close,change,percent_gain
Bharti Airtel,639.35,625.00,635.90,620.45,15.45,2.49
Adani Ports,745.95,728.10,744.00,730.00,14,1.92
Bajaj Finance,"7,309.80","7,130.00","7,282.00","7,165.50",116.5,1.63
Asian Paints,"3,182.80","3,103.05","3,155.30","3,108.75",46.55,1.5
Hindalco,457.85,444.80,454.65,448.05,6.6,1.47
Shree Cements,"27,579.35","27,048.75","27,499.95","27,157.85",342.1,1.26
Eicher Motors,"2,587.50","2,545.00","2,583.40","2,553.95",29.45,1.15
IOC,108.50,107.40,108.50,107.35,1.15,1.07
Sun Pharma,801.00,783.70,794.20,787.20,7,0.89
UltraTechCement,"7,810.00","7,666.65","7,772.00","7,703.80",68.2,0.89
Bajaj Finserv,"16,760.00","16,428.25","16,700.50","16,560.40",140.1,0.85
UPL,747.35,737.90,745.65,740.45,5.2,0.7
HDFC,"2,781.00","2,739.35","2,774.80","2,755.70",19.1,0.69
Coal India,145.25,143.25,144.55,143.60,0.95,0.66
Kotak Mahindra,"1,756.90","1,739.05","1,747.00","1,735.85",11.15,0.64
Tata Steel,"1,457.70","1,432.00","1,449.45","1,440.60",8.85,0.61
ICICI Bank,719.85,709.35,716.25,713.65,2.6,0.36
Maruti Suzuki,"6,835.00","6,763.55","6,821.15","6,796.90",24.25,0.36
Titan Company,"1,897.40","1,875.55","1,885.20","1,878.45",6.75,0.36
Grasim,"1,489.00","1,467.65","1,476.30","1,471.15",5.15,0.35
Divis Labs,"5,179.40","5,110.05","5,121.80","5,104.25",17.55,0.34
HDFC Bank,"1,578.15","1,562.20","1,573.15","1,568.25",4.9,0.31
SBI Life Insura,"1,187.90","1,171.65","1,183.95","1,180.70",3.25,0.28
Larsen,"1,674.15","1,645.00","1,664.30","1,660.10",4.2,0.25
HDFC Life,716.80,704.10,714.00,712.35,1.65,0.23
NTPC,115.65,114.70,115.15,114.95,0.2,0.17
TATA Cons. Prod,865.00,857.00,861.60,860.50,1.1,0.13
HCL Tech,"1,193.40","1,162.05","1,164.70","1,163.40",1.3,0.11
TCS,"3,742.00","3,703.45","3,704.80","3,701.30",3.5,0.09
ITC,208.65,207.25,208.15,208.00,0.15,0.07
