company_name,high,low,last_price,prev_close,change,percent_gain
Grasim,"1,359.90","1,323.60","1,355.00","1,343.05",11.95,0.89
Reliance,"2,555.00","2,501.00","2,548.00","2,527.70",20.3,0.8
UltraTechCement,"5,647.95","5,521.10","5,611.00","5,572.75",38.25,0.69
Shree Cements,"19,550.00","19,011.15","19,350.00","19,236.90",113.1,0.59
Tata Motors,419.30,411.55,418.50,417.10,1.4,0.34
Tata Steel,888.80,868.50,881.35,878.90,2.45,0.28
Maruti Suzuki,"8,530.00","8,370.00","8,507.50","8,489.70",17.8,0.21
Hero Motocorp,"2,784.75","2,730.00","2,768.70","2,766.70",2,0.07
