company_name,high,low,last_price,prev_close,change,percent_gain
TATA Cons. Prod,769.00,727.00,766.10,730.20,35.9,4.92
Adani Ports,793.00,763.65,792.30,772.20,20.1,2.6
IOC,124.40,121.35,123.20,121.15,2.05,1.69
BPCL,399.00,392.50,397.85,394.50,3.35,0.85
Larsen,"2,044.90","2,007.00","2,033.75","2,018.40",15.35,0.76
SBI Life Insura,"1,271.00","1,254.50","1,268.15","1,258.70",9.45,0.75
Divis Labs,"4,623.00","4,559.00","4,620.90","4,590.05",30.85,0.67
UltraTechCement,"7,700.00","7,566.90","7,645.00","7,606.80",38.2,0.5
Infosys,"1,910.00","1,881.00","1,905.15","1,896.80",8.35,0.44
NTPC,136.15,133.30,135.40,134.95,0.45,0.33
HDFC Bank,"1,541.20","1,519.00","1,532.60","1,528.00",4.6,0.3
HDFC Life,674.85,666.20,672.20,670.35,1.85,0.28
Shree Cements,"27,068.90","26,577.25","26,927.05","26,855.30",71.75,0.27
Maruti Suzuki,"8,145.00","7,951.00","8,093.00","8,077.05",15.95,0.2
Reliance,"2,567.30","2,525.85","2,538.50","2,535.30",3.2,0.13
Grasim,"1,867.75","1,832.35","1,858.45","1,856.85",1.6,0.09
TCS,"3,918.00","3,860.05","3,900.20","3,897.90",2.3,0.06
