company_name,high,low,last_price,prev_close,change,percent_gain
Adani Ports,709.60,687.00,705.85,688.10,17.75,2.58
Tata Steel,"1,333.70","1,290.00","1,326.30","1,299.60",26.7,2.05
SBI,512.65,488.40,510.10,501.35,8.75,1.75
JSW Steel,682.00,663.00,679.00,667.45,11.55,1.73
Cipla,906.85,885.25,906.30,891.75,14.55,1.63
Divis Labs,"5,220.00","5,085.30","5,204.00","5,121.15",82.85,1.62
HCL Tech,"1,173.00","1,145.00","1,170.60","1,152.00",18.6,1.61
Tata Motors,490.90,467.70,488.35,481.05,7.3,1.52
Maruti Suzuki,"7,478.15","7,294.85","7,466.70","7,369.70",97,1.32
Bharti Airtel,700.00,677.05,698.40,689.75,8.65,1.25
Dr Reddys Labs,"4,634.50","4,526.05","4,626.65","4,569.95",56.7,1.24
M&M,901.50,862.00,894.25,883.85,10.4,1.18
Coal India,169.50,163.30,168.45,166.55,1.9,1.14
Bajaj Auto,"3,754.85","3,665.00","3,742.00","3,700.70",41.3,1.12
UltraTechCement,"7,554.95","7,343.00","7,530.10","7,446.65",83.45,1.12
Shree Cements,"28,520.00","27,705.00","28,494.80","28,193.05",301.75,1.07
ITC,228.25,222.30,227.40,225.10,2.3,1.02
Power Grid Corp,187.95,181.30,187.70,185.90,1.8,0.97
SBI Life Insura,"1,180.00","1,149.00","1,177.55","1,167.10",10.45,0.9
Hero Motocorp,"2,702.85","2,639.00","2,690.60","2,667.75",22.85,0.86
Grasim,"1,730.95","1,675.45","1,716.70","1,702.40",14.3,0.84
UPL,739.00,716.55,735.80,729.90,5.9,0.81
Titan Company,"2,404.00","2,346.55","2,394.20","2,375.15",19.05,0.8
Hindalco,474.20,456.65,472.20,468.80,3.4,0.73
ICICI Bank,808.75,783.90,804.55,798.70,5.85,0.73
IOC,129.70,126.45,129.55,128.65,0.9,0.7
ONGC,151.85,146.00,151.25,150.20,1.05,0.7
TATA Cons. Prod,816.80,794.15,815.30,809.70,5.6,0.69
HDFC Life,688.70,675.50,687.60,683.10,4.5,0.66
Sun Pharma,816.55,779.35,811.80,807.60,4.2,0.52
TCS,"3,453.75","3,395.50","3,437.00","3,421.65",15.35,0.45
BPCL,424.00,413.60,422.35,420.80,1.55,0.37
Bajaj Finance,"7,549.70","7,313.05","7,510.00","7,484.25",25.75,0.34
HDFC Bank,"1,602.00","1,560.00","1,597.70","1,593.60",4.1,0.26
Bajaj Finserv,"18,174.00","17,139.55","18,031.35","17,987.70",43.65,0.24
Tech Mahindra,"1,542.75","1,499.10","1,536.40","1,533.30",3.1,0.2
Axis Bank,762.00,714.00,759.50,758.35,1.15,0.15
Nestle,"19,200.00","18,777.05","19,010.00","18,991.40",18.6,0.1
