company_name,high,low,last_price,prev_close,change,percent_gain
Dr Reddys Labs,"4,554.55","4,350.10","4,548.90","4,406.20",142.7,3.24
ONGC,125.20,121.05,125.20,121.50,3.7,3.05
M&M,"1,166.35","1,122.65","1,161.85","1,133.60",28.25,2.49
Coal India,194.30,187.80,193.65,189.80,3.85,2.03
Divis Labs,"3,714.70","3,633.70","3,713.90","3,671.30",42.6,1.16
Eicher Motors,"2,981.00","2,907.90","2,965.00","2,931.60",33.4,1.14
Titan Company,"2,173.85","2,126.60","2,167.15","2,144.35",22.8,1.06
ICICI Bank,764.95,755.00,763.50,755.70,7.8,1.03
IndusInd Bank,859.50,843.05,856.40,848.60,7.8,0.92
ITC,296.95,292.05,295.55,293.05,2.5,0.85
Asian Paints,"2,914.90","2,851.35","2,901.95","2,879.80",22.15,0.77
Adani Ports,726.20,713.05,721.15,715.70,5.45,0.76
HUL,"2,518.95","2,480.00","2,515.00","2,496.85",18.15,0.73
Cipla,942.45,927.05,941.00,935.45,5.55,0.59
Apollo Hospital,"3,968.15","3,895.05","3,958.50","3,936.15",22.35,0.57
Bajaj Auto,"3,858.00","3,795.00","3,844.50","3,825.00",19.5,0.51
JSW Steel,573.00,561.10,568.95,566.20,2.75,0.49
Axis Bank,677.15,665.35,672.40,669.15,3.25,0.49
Sun Pharma,863.00,851.10,861.80,857.70,4.1,0.48
NTPC,147.00,143.60,144.25,143.70,0.55,0.38
Tata Steel,893.40,875.05,888.90,885.90,3,0.34
SBI Life Insura,"1,155.10","1,141.05","1,150.60","1,146.90",3.7,0.32
HDFC Bank,"1,404.75","1,393.25","1,400.50","1,397.10",3.4,0.24
UPL,695.00,683.25,691.60,690.25,1.35,0.2
TATA Cons. Prod,770.00,759.05,762.00,761.40,0.6,0.08
Nestle,"18,521.00","18,342.00","18,431.75","18,419.15",12.6,0.07
HDFC Life,549.10,542.15,545.50,545.35,0.15,0.03
SBI,491.30,485.00,488.70,488.55,0.15,0.03
