company_name,high,low,last_price,prev_close,change,percent_gain
NTPC,162.25,158.00,162.20,158.65,3.55,2.24
Apollo Hospital,"4,168.90","4,077.95","4,160.90","4,070.95",89.95,2.21
ONGC,137.40,134.50,136.50,133.75,2.75,2.06
IndusInd Bank,"1,097.75","1,077.00","1,092.00","1,071.05",20.95,1.96
Coal India,226.00,222.35,225.75,222.85,2.9,1.3
HDFC Life,574.25,563.15,571.45,565.85,5.6,0.99
SBI Life Insura,"1,289.90","1,272.25","1,288.10","1,279.25",8.85,0.69
Tata Motors,464.20,457.70,463.15,460.45,2.7,0.59
Tata Motors,464.20,457.70,463.15,460.45,2.7,0.59
ICICI Bank,870.75,857.05,868.90,863.90,5,0.58
Power Grid Corp,229.70,226.50,228.85,227.55,1.3,0.57
Hindalco,432.15,425.20,430.10,427.90,2.2,0.51
Larsen,"1,890.00","1,851.60","1,886.50","1,877.05",9.45,0.5
Shree Cements,"21,284.90","21,080.00","21,232.50","21,126.65",105.85,0.5
ITC,319.45,315.45,317.20,315.90,1.3,0.41
UltraTechCement,"6,533.70","6,452.10","6,520.75","6,495.40",25.35,0.39
HDFC,"2,432.00","2,400.00","2,429.95","2,420.75",9.2,0.38
Sun Pharma,899.95,887.00,891.50,888.40,3.1,0.35
Reliance,"2,670.00","2,638.00","2,655.90","2,646.80",9.1,0.34
Axis Bank,751.85,742.00,749.40,747.05,2.35,0.31
Kotak Mahindra,"1,867.70","1,841.40","1,860.50","1,855.75",4.75,0.26
Bajaj Finserv,"16,426.40","16,180.25","16,340.00","16,303.90",36.1,0.22
M&M,"1,283.50","1,264.05","1,275.35","1,273.10",2.25,0.18
Tech Mahindra,"1,073.40","1,055.10","1,066.90","1,065.90",1,0.09
HDFC Bank,"1,469.25","1,459.20","1,467.00","1,465.80",1.2,0.08
Bajaj Auto,"4,083.95","4,050.45","4,066.45","4,064.45",2,0.05
Grasim,"1,596.30","1,575.05","1,595.75","1,595.45",0.3,0.02
Asian Paints,"3,359.00","3,302.00","3,357.10","3,356.60",0.5,0.01
