company_name,high,low,last_price,prev_close,change,percent_gain
Coal India,166.90,162.60,166.20,163.05,3.15,1.93
SBI Life Insura,"1,147.75","1,111.35","1,147.25","1,126.35",20.9,1.86
Larsen,"1,896.00","1,865.15","1,891.50","1,868.70",22.8,1.22
Tata Steel,"1,205.00","1,183.00","1,204.20","1,190.95",13.25,1.11
HDFC,"2,438.20","2,402.40","2,434.50","2,411.80",22.7,0.94
Power Grid Corp,200.15,195.50,198.60,197.00,1.6,0.81
HDFC Life,597.50,587.45,597.00,592.60,4.4,0.74
Hindalco,537.00,528.00,536.20,532.55,3.65,0.69
UPL,736.20,724.50,731.25,727.05,4.2,0.58
Grasim,"1,724.00","1,698.00","1,719.75","1,711.25",8.5,0.5
Maruti Suzuki,"8,645.95","8,520.05","8,592.10","8,552.45",39.65,0.46
Sun Pharma,867.00,856.40,866.50,862.55,3.95,0.46
SBI,515.90,510.10,514.80,512.95,1.85,0.36
JSW Steel,641.00,631.85,640.45,638.20,2.25,0.35
NTPC,134.10,132.35,133.20,132.75,0.45,0.34
Axis Bank,788.50,779.00,785.20,782.80,2.4,0.31
M&M,869.75,857.20,864.40,862.25,2.15,0.25
IndusInd Bank,964.00,948.60,957.80,955.80,2,0.21
BPCL,375.95,371.45,373.75,373.00,0.75,0.2
ICICI Bank,753.50,745.55,751.50,750.35,1.15,0.15
Eicher Motors,"2,735.00","2,697.15","2,724.00","2,722.75",1.25,0.05
Bajaj Finance,"7,100.00","7,020.00","7,084.95","7,082.45",2.5,0.04
Bharti Airtel,719.55,712.05,717.30,717.00,0.3,0.04
Bajaj Finserv,"16,251.00","16,025.85","16,186.00","16,181.20",4.8,0.03
Reliance,"2,452.00","2,432.00","2,444.00","2,443.50",0.5,0.02
