company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finserv,"16,850.00","16,370.00","16,766.75","16,086.40",680.35,4.23
IndusInd Bank,"1,096.45","1,070.00","1,093.05","1,059.20",33.85,3.2
Bajaj Finance,"7,194.00","7,000.00","7,177.00","6,964.35",212.65,3.05
Maruti Suzuki,"9,148.40","8,870.00","9,097.00","8,834.20",262.8,2.97
Tata Motors,466.65,457.10,465.75,453.35,12.4,2.74
Tata Motors,466.65,457.10,465.75,453.35,12.4,2.74
Tech Mahindra,"1,065.95","1,042.30","1,062.75","1,035.55",27.2,2.63
SBI,528.50,517.95,527.40,514.85,12.55,2.44
M&M,"1,308.00","1,284.00","1,307.00","1,276.80",30.2,2.37
UltraTechCement,"6,675.00","6,525.00","6,655.00","6,506.30",148.7,2.29
Titan Company,"2,584.55","2,543.00","2,584.55","2,531.70",52.85,2.09
HCL Tech,938.90,923.70,936.25,917.50,18.75,2.04
HUL,"2,635.10","2,585.60","2,627.55","2,575.80",51.75,2.01
Tata Steel,107.20,106.05,106.95,104.85,2.1,2
Tata Steel,107.20,106.05,106.95,104.85,2.1,2
Eicher Motors,"3,374.00","3,317.00","3,353.00","3,291.60",61.4,1.87
Kotak Mahindra,"1,886.60","1,857.00","1,883.60","1,850.00",33.6,1.82
ONGC,139.85,137.55,138.30,135.90,2.4,1.77
Shree Cements,"22,550.00","21,960.00","22,284.00","21,895.80",388.2,1.77
Coal India,235.50,231.50,234.50,230.60,3.9,1.69
Axis Bank,741.70,733.00,741.00,728.70,12.3,1.69
Wipro,411.85,406.25,411.05,404.35,6.7,1.66
JSW Steel,661.85,651.50,659.85,649.60,10.25,1.58
ITC,319.20,314.25,318.40,313.55,4.85,1.55
Hindalco,439.90,433.35,436.80,430.20,6.6,1.53
HDFC Bank,"1,462.50","1,443.10","1,461.30","1,439.40",21.9,1.52
Bajaj Auto,"4,128.95","4,011.55","4,089.50","4,030.05",59.45,1.48
TCS,"3,182.00","3,142.10","3,174.90","3,132.55",42.35,1.35
ICICI Bank,868.35,859.10,867.25,855.85,11.4,1.33
HDFC,"2,397.45","2,375.00","2,396.20","2,366.00",30.2,1.28
SBI Life Insura,"1,323.90","1,300.10","1,314.70","1,298.20",16.5,1.27
HDFC Life,569.85,562.15,567.80,560.95,6.85,1.22
Larsen,"1,906.00","1,889.15","1,904.25","1,881.50",22.75,1.21
Grasim,"1,692.00","1,670.20","1,683.75","1,664.05",19.7,1.18
Adani Ports,860.60,840.60,845.65,836.40,9.25,1.11
Power Grid Corp,230.25,228.10,229.50,227.05,2.45,1.08
NTPC,165.45,161.55,162.60,160.95,1.65,1.03
Infosys,"1,478.40","1,466.00","1,476.55","1,461.75",14.8,1.01
Divis Labs,"3,623.00","3,581.05","3,618.45","3,582.45",36,1
Asian Paints,"3,379.00","3,331.00","3,375.70","3,343.25",32.45,0.97
Hero Motocorp,"2,863.70","2,831.55","2,854.10","2,827.05",27.05,0.96
Apollo Hospital,"4,313.35","4,233.20","4,291.60","4,251.50",40.1,0.94
Nestle,"19,894.40","19,660.00","19,814.85","19,646.35",168.5,0.86
Reliance,"2,628.95","2,576.60","2,619.80","2,597.65",22.15,0.85
Sun Pharma,889.90,882.00,885.85,879.25,6.6,0.75
Britannia,"3,766.15","3,717.00","3,735.00","3,707.65",27.35,0.74
BPCL,329.90,326.20,328.00,326.20,1.8,0.55
UPL,761.00,751.65,754.40,750.45,3.95,0.53
Bharti Airtel,724.95,711.80,723.20,720.60,2.6,0.36
Cipla,"1,026.70","1,016.10","1,020.80","1,017.30",3.5,0.34
TATA Cons. Prod,813.95,806.30,807.55,806.15,1.4,0.17
