company_name,high,low,last_price,prev_close,change,percent_gain
Divis Labs,"3,719.80","3,590.00","3,712.50","3,642.60",69.9,1.92
Nestle,"18,889.90","18,450.00","18,751.30","18,495.90",255.4,1.38
Infosys,"1,385.50","1,355.00","1,383.60","1,365.45",18.15,1.33
Asian Paints,"3,433.00","3,354.00","3,428.55","3,395.25",33.3,0.98
HCL Tech,908.80,882.00,903.45,895.85,7.6,0.85
Cipla,"1,073.25","1,050.85","1,071.50","1,068.10",3.4,0.32
Tech Mahindra,"1,038.95","1,013.55","1,038.10","1,035.10",3,0.29
TCS,"2,986.95","2,926.10","2,985.00","2,982.05",2.95,0.1
