company_name,high,low,last_price,prev_close,change,percent_gain
UPL,756.50,720.30,751.50,720.30,31.2,4.33
Larsen,"1,895.00","1,818.00","1,889.05","1,815.65",73.4,4.04
IOC,135.00,130.40,133.90,130.80,3.1,2.37
Hindalco,479.00,469.85,478.70,468.40,10.3,2.2
Tech Mahindra,"1,537.70","1,496.05","1,515.90","1,490.60",25.3,1.7
Adani Ports,719.80,702.00,713.90,702.35,11.55,1.64
UltraTechCement,"7,844.50","7,730.05","7,837.90","7,713.35",124.55,1.61
Grasim,"1,769.95","1,735.20","1,769.50","1,744.05",25.45,1.46
Kotak Mahindra,"2,111.60","2,077.65","2,105.00","2,076.65",28.35,1.37
JSW Steel,682.30,673.55,681.50,672.85,8.65,1.29
SBI Life Insura,"1,198.40","1,170.00","1,178.95","1,166.05",12.9,1.11
Tata Steel,"1,329.60","1,312.00","1,327.40","1,313.65",13.75,1.05
Infosys,"1,716.00","1,701.00","1,714.95","1,697.90",17.05,1
Tata Motors,495.00,481.60,492.40,487.85,4.55,0.93
Coal India,171.10,168.20,170.70,169.20,1.5,0.89
Cipla,911.10,903.70,910.90,903.40,7.5,0.83
HCL Tech,"1,182.35","1,171.70","1,179.70","1,170.65",9.05,0.77
Axis Bank,762.65,756.45,761.60,755.85,5.75,0.76
BPCL,421.55,417.00,419.05,416.15,2.9,0.7
TCS,"3,509.50","3,487.15","3,506.65","3,484.20",22.45,0.64
Bajaj Finance,"7,520.00","7,465.60","7,497.80","7,455.35",42.45,0.57
Asian Paints,"3,121.00","3,095.00","3,118.00","3,103.35",14.65,0.47
Wipro,661.85,654.15,656.85,653.80,3.05,0.47
Maruti Suzuki,"7,842.25","7,784.55","7,827.95","7,791.75",36.2,0.46
SBI,528.35,522.10,523.90,521.70,2.2,0.42
Dr Reddys Labs,"4,798.25","4,755.00","4,763.40","4,746.10",17.3,0.36
HDFC Life,698.50,692.45,694.45,692.65,1.8,0.26
M&M,869.90,859.05,863.65,861.50,2.15,0.25
IndusInd Bank,"1,220.00","1,208.35","1,214.95","1,212.55",2.4,0.2
HDFC,"2,932.90","2,898.20","2,905.00","2,900.05",4.95,0.17
Eicher Motors,"2,560.00","2,537.00","2,546.45","2,542.45",4,0.16
Bajaj Auto,"3,763.95","3,726.20","3,747.15","3,741.85",5.3,0.14
Bajaj Finserv,"17,754.75","17,514.00","17,553.00","17,542.60",10.4,0.06
TATA Cons. Prod,839.00,831.25,834.00,833.80,0.2,0.02
