company_name,high,low,last_price,prev_close,change,percent_gain
Grasim,"1,772.00","1,722.00","1,769.50","1,720.55",48.95,2.85
ONGC,156.00,151.35,154.50,150.80,3.7,2.45
Wipro,721.50,708.00,718.50,705.75,12.75,1.81
ICICI Bank,802.30,789.35,797.50,785.05,12.45,1.59
SBI,501.95,492.00,499.10,491.70,7.4,1.5
Tech Mahindra,"1,724.55","1,695.10","1,715.00","1,692.10",22.9,1.35
Asian Paints,"3,572.90","3,496.55","3,561.30","3,514.65",46.65,1.33
Kotak Mahindra,"1,925.40","1,883.60","1,916.80","1,891.90",24.9,1.32
Britannia,"3,725.00","3,682.85","3,720.10","3,675.10",45,1.22
HDFC Bank,"1,566.75","1,541.05","1,557.45","1,539.75",17.7,1.15
TCS,"3,864.90","3,796.40","3,849.75","3,807.45",42.3,1.11
Reliance,"2,458.05","2,426.50","2,439.80","2,416.50",23.3,0.96
HDFC Life,656.00,646.00,652.30,646.90,5.4,0.83
TATA Cons. Prod,734.55,725.05,731.40,725.45,5.95,0.82
HCL Tech,"1,298.50","1,282.20","1,294.65","1,284.90",9.75,0.76
Shree Cements,"26,800.00","26,572.55","26,724.90","26,528.05",196.85,0.74
HUL,"2,411.00","2,388.00","2,408.90","2,391.40",17.5,0.73
IndusInd Bank,938.45,922.50,927.70,921.70,6,0.65
IOC,119.20,117.30,117.95,117.25,0.7,0.6
Axis Bank,740.90,730.00,734.40,730.30,4.1,0.56
BPCL,402.90,397.00,397.65,395.80,1.85,0.47
Power Grid Corp,208.50,206.40,206.85,205.95,0.9,0.44
SBI Life Insura,"1,212.70","1,206.00","1,210.55","1,205.60",4.95,0.41
Infosys,"1,836.00","1,806.80","1,825.00","1,817.80",7.2,0.4
Coal India,157.45,154.95,155.20,154.65,0.55,0.36
Hindalco,483.95,480.05,480.70,479.10,1.6,0.33
Divis Labs,"4,522.00","4,470.50","4,502.30","4,489.15",13.15,0.29
Nestle,"19,750.00","19,587.05","19,687.10","19,647.55",39.55,0.2
Hero Motocorp,"2,515.50","2,496.00","2,500.80","2,496.00",4.8,0.19
ITC,220.65,218.80,219.10,218.70,0.4,0.18
Titan Company,"2,687.25","2,585.65","2,598.65","2,595.90",2.75,0.11
