company_name,high,low,last_price,prev_close,change,percent_gain
Reliance,"2,433.45","2,357.15","2,430.15","2,351.40",78.75,3.35
Kotak Mahindra,"2,038.80","2,013.05","2,036.10","2,011.40",24.7,1.23
Dr Reddys Labs,"4,658.00","4,585.20","4,647.95","4,598.05",49.9,1.09
Divis Labs,"4,740.65","4,655.60","4,730.00","4,682.70",47.3,1.01
HDFC Life,694.50,685.50,693.10,687.20,5.9,0.86
Tech Mahindra,"1,561.00","1,530.05","1,550.00","1,538.10",11.9,0.77
HCL Tech,"1,128.40","1,111.00","1,127.40","1,119.45",7.95,0.71
Infosys,"1,714.35","1,696.95","1,707.00","1,696.00",11,0.65
Grasim,"1,759.15","1,716.00","1,755.40","1,746.95",8.45,0.48
Tata Motors,495.15,487.00,490.70,488.65,2.05,0.42
TATA Cons. Prod,805.85,795.60,801.70,798.95,2.75,0.34
Cipla,898.00,884.00,895.60,893.45,2.15,0.24
UPL,737.85,721.75,723.45,721.70,1.75,0.24
TCS,"3,461.30","3,434.05","3,451.60","3,443.30",8.3,0.24
SBI,494.45,486.30,493.60,493.15,0.45,0.09
