company_name,high,low,last_price,prev_close,change,percent_gain
Power Grid Corp,193.65,191.05,192.70,191.05,1.65,0.86
SBI Life Insura,"1,199.00","1,180.00","1,196.10","1,187.20",8.9,0.75
Asian Paints,"3,258.00","3,226.00","3,245.10","3,230.25",14.85,0.46
HDFC Bank,"1,542.45","1,525.25","1,537.00","1,530.80",6.2,0.41
Hindalco,454.00,442.50,446.85,445.40,1.45,0.33
SBI,504.50,492.30,499.50,498.15,1.35,0.27
Reliance,"2,478.00","2,450.05","2,467.70","2,464.00",3.7,0.15
ICICI Bank,767.50,756.40,761.60,761.30,0.3,0.04
IOC,129.10,127.60,128.50,128.45,0.05,0.04
