company_name,high,low,last_price,prev_close,change,percent_gain
Coal India,168.30,160.00,167.95,159.95,8,5
Maruti Suzuki,"8,886.65","8,622.00","8,874.85","8,599.45",275.4,3.2
IndusInd Bank,962.60,940.40,960.60,937.70,22.9,2.44
Bajaj Auto,"3,550.00","3,452.00","3,533.00","3,458.65",74.35,2.15
Hindalco,539.70,532.10,537.55,526.80,10.75,2.04
HCL Tech,"1,188.50","1,166.00","1,185.00","1,161.95",23.05,1.98
Hero Motocorp,"2,724.50","2,673.05","2,720.05","2,671.95",48.1,1.8
Cipla,969.90,950.25,963.95,948.05,15.9,1.68
HDFC Bank,"1,491.00","1,467.00","1,485.50","1,461.85",23.65,1.62
Britannia,"3,530.00","3,473.45","3,527.00","3,473.45",53.55,1.54
Tech Mahindra,"1,470.95","1,440.05","1,456.00","1,434.20",21.8,1.52
Tata Motors,501.00,494.70,499.90,492.75,7.15,1.45
Bajaj Finserv,"16,350.00","16,120.00","16,220.00","15,989.15",230.85,1.44
Wipro,570.45,563.30,568.25,560.25,8,1.43
Shree Cements,"25,263.90","24,677.85","25,106.00","24,764.00",342,1.38
Titan Company,"2,495.00","2,456.05","2,477.00","2,443.65",33.35,1.36
Adani Ports,733.95,719.05,725.90,717.80,8.1,1.13
UltraTechCement,"7,547.90","7,421.45","7,500.05","7,421.35",78.7,1.06
Kotak Mahindra,"1,847.80","1,822.65","1,836.60","1,817.80",18.8,1.03
Divis Labs,"4,357.45","4,278.80","4,321.20","4,277.55",43.65,1.02
Infosys,"1,742.80","1,725.00","1,734.00","1,717.30",16.7,0.97
UPL,769.00,760.00,765.15,758.65,6.5,0.86
Grasim,"1,746.00","1,713.00","1,731.75","1,717.80",13.95,0.81
Axis Bank,809.50,800.15,804.90,798.55,6.35,0.8
Larsen,"1,899.90","1,875.60","1,889.45","1,875.60",13.85,0.74
Eicher Motors,"2,624.35","2,590.00","2,607.45","2,589.15",18.3,0.71
ICICI Bank,803.00,794.20,798.05,792.50,5.55,0.7
Bajaj Finance,"7,157.90","7,070.00","7,100.95","7,055.00",45.95,0.65
Asian Paints,"3,259.00","3,223.10","3,235.95","3,216.35",19.6,0.61
M&M,841.50,833.15,837.05,832.05,5,0.6
Reliance,"2,376.60","2,358.00","2,368.00","2,356.05",11.95,0.51
Dr Reddys Labs,"4,355.25","4,311.50","4,342.00","4,321.95",20.05,0.46
TCS,"3,777.95","3,746.10","3,757.95","3,743.45",14.5,0.39
Bharti Airtel,713.70,702.15,711.20,708.90,2.3,0.32
TATA Cons. Prod,707.00,696.55,698.85,697.10,1.75,0.25
NTPC,135.60,133.85,135.30,135.00,0.3,0.22
Power Grid Corp,211.65,208.70,210.20,210.05,0.15,0.07
JSW Steel,664.90,657.85,660.40,660.10,0.3,0.05
ONGC,169.60,166.80,167.00,166.95,0.05,0.03
